Mot;Score_C4;Morpho_Score;Zipf;Source;Définition
accommodation;0.952;0.95;2.61;Mots insolites;Action d’accommoder ou de s’accommoder à quelque chose. Qu’il y ait divergence de l’idéal premier, voici qui ne peut être mis en doute. […] Y a-t-il faillite ? ou opportune et indiscutable accommodation à d’imprévues difficultés ? — (André Gide, Retour de l’U.R.S.S., 1936)
aboucher;0.919;0.85;2.53;Mots insolites;"(Transitif) (Vieilli) Arranger la rencontre entre deux ou plusieurs personnes afin qu’elles parlent ensemble. Sidonie colportait, avec un sourire pâle, ces demandes et ces offres ; elle faisait deux lieues pour aboucher les gens. — (Émile Zola, La curée, A. Lacroix, Verboeckhoven et Cie, 1871, pa..."
antédiluvien;0.877;0.80;2.61;Graine de référence;"(Vieilli) Qui a existé avant le déluge. La source parait venir perpendiculairement d'une grande profondeur; son analyse chimique fait présumer que le réservoir souterrain qui la produit contient des corps animaux antédiluviens, puisqu'il se trouve dans la composition de cette Eau, qui est légèrem..."
abordable;0.869;0.75;2.53;Mots insolites;Modéré, en parlant d'un prix. Les produits alimentaires sont plus abordables en France qu’en Allemagne, et le choix est bien plus important, synthétise Ralid. — (journal 20 minutes, édition Paris-IDF, 12 octobre 2022, page 10)
aguicheuse;0.869;0.75;2.53;LGBT & Orientations;(Sexualité) Femme qui aguiche.
à dépêche-compagnon;0.850;1.30;0.00;Mots insolites;"(Rare) Vite et négligemment, en ne cherchant qu’à finir vite, en négligeant l’ouvrage. Il y sévissait, comme dans toutes les cliniques retapées à dépêche-compagnon, une odeur désagréable de formol mêlé de mauvais plâtre. — (Yves Klein; Delicati pueri)"
à jambes rebindaines;0.850;1.30;0.00;Mots insolites;(Rare) Les jambes en l’air. Son siège, las de le porter, s’était rompu, et le gros homme, étendu à jambes rebindaines, se démenait comme une tortue retournée en poussant des gloussements inarticulés. — (Théophile Gautier, Le Capitaine Fracasse, 1863, chapitre II)
à main que veux-tu;0.850;1.30;0.00;Mots insolites;"(Rare) À pleines mains. […] ; ainsi, point de plus dédaigneux moqueurs de la poltronnerie que les drôles que l'on peut souffleter à main que veux-tu; […]. — (Frédéric Soulié, Confession générale, tome 2 , chap. 34, Paris : aux bureaux du Constitutionnel, 1857, p. 195)"
à maison laide arbre mort;0.850;1.30;0.00;Mots insolites;(Rare) Définition manquante ou à compléter. (Ajouter)
à se coincer les parties dans une porte;0.850;1.30;0.00;Mots insolites;(Familier) (Rare) (Sens figuré) Se dit d’une situation hors du commun, souvent par bêtise. C’est dingue ça : ils ont tous fait beaucoup d’études et se débrouillent pour avoir l’air de gens incultes. C’est pas que je vénère les intellos mais tout de même, là, le niveau qu’on a atteint ces dernière...
à toute seigneuresse tout honneur;0.850;1.30;0.00;Mots insolites;(Rare) (Proverbial) Chacune doit recevoir ce qui lui est dû selon son rang, sa dignité, ses mérites, ses actions, etc. À toute seigneuresse, tout honneur, c’est Dorabella qui ouvre le sien en premier. — (Florentin Malcourt, Dorabella ou l’amour transfiguré, Éditions Vérone, 2021, page 213)
à vol d’hirondelle;0.850;1.30;0.00;Mots insolites;En ligne droite, sans dévier. C'est ainsi que nous parcourûmes les onze lieues qui séparent l'élégante et royale Bruxelles de l'active et commerçante Anvers, en soixante minutes, pendant lesquelles nous passâmes, presqu'à vol d'hirondelle, à travers d'épaisses et vertes prairies parées de grands ...
abracadabrantesquerie;0.850;1.30;0.00;Mots insolites;(Très rare) Bêtise, idiotie. Et comme je demeurai stupide devant cet abracadabrantesquerie, elle finit par : « J'ai demandé hier à maman comment on avait des enfants et elle m'a répondu que c'était quand on baisait un homme sur la bouche. Tu vois bien que… » — (Paul Verlaine, Confessions, Vanier ...
abutyrotomofilogène;0.850;1.30;0.00;Mots insolites;"(Sens figuré) (Par plaisanterie) (Très rare) Se dit d’un individu simplet. Un individu abutyrotomofilogène est-il : un individu qui pratique la langue de bois ; un individu simplet ; un autochtone ; un dormeur ? — (Dominique Dumas, Marc Delabrière, Julie Camoin, Concours Orthophoniste - Annales c..."
accouple de chiens;0.850;1.30;0.00;Mots insolites;(Héraldique) (Rare) Forme pléonastique de accouple qui fait uniquement référence aux chiens. De gueules à trois accouples de chiens d’argent, en pal, les laisses d’azur à dextre, en fasce, qui est de la commune de Gorre de Haute-Vienne → voir « armoiries avec 3 accouples »
échappatoire;0.842;0.95;3.16;Genre Grammatical Confus;Moyen de se tirer d'embarras, dérobade (souvent confondue avec le masculin : une échappatoire).
bisexuelle;0.839;0.75;2.32;LGBT & Orientations;(Sexualité) Femme attirée sentimentalement et/ou sexuellement par 2 genres. Exemple d’utilisation manquant. (Ajouter)
astérisque;0.836;0.70;2.43;Genre Grammatical Confus;Signe typographique en forme d'étoile (souvent confondu avec le féminin : un astérisque).
anachronique;0.829;0.95;3.23;Graine de référence;"Faux ou erroné par rapport à la chronologie ; qui est déplacé à son époque, qui est d'un autre âge. Aussi désuet, obsolète, périmé. C'est anachronique, comme la beauté. — (Étienne Barilier, Le chien Tristan, 1993)"
hémisphère;0.829;0.85;2.98;Genre Grammatical Confus;Moitié du globe terrestre ou du cerveau (souvent confondu avec le féminin : un hémisphère).
