Mot;Difficulté;Zipf Livres;Zipf Films;Freq Livres (ppm);Freq Films (ppm);Définition
convaincre;Débutant;4.38;4.45;23.72;28.43;Amener quelqu'un à reconnaître la vérité d'une proposition par des preuves logiques.
partant;Débutant;4.18;4.00;15.07;10.09;Par conséquent, donc.
justifier;Débutant;4.17;3.87;14.93;7.37;Montrer la vérité de ce qu’on avance, de ce qu’on allègue. Justifier un fait. — Ce que j’avance, je puis le justifier par des faits.
persuader;Débutant;4.09;3.65;12.23;4.50;Amener quelqu'un à croire ou à faire quelque chose en faisant appel à ses sentiments.
objectif;Débutant;4.04;4.25;10.88;17.65;Qui concerne l’objet.
lucide;Débutant;4.02;3.44;10.54;2.76;Qui conçoit les choses clairement. On n’est jamais trop lucide, et mieux vaut, dans le doute, noircir le tableau, au moins intellectuellement, que l’enjoliver : cela évitera imprudences et désillusions. — (André Comte-Sponville, Le goût de vivre et cent autres propos, Albin Michel, 2010)
argument;Débutant;3.92;3.71;8.24;5.07;"(Logique) Raisonnement construit selon certaines règles, par lequel on tire méthodiquement une conséquence d’une ou de plusieurs propositions. Les mystères, étant supra-rationnels, ne sauraient être démontrés ; mais, comme ils ne sont pas pour cela anti-rationnels, les arguments qui tendent à éta..."
équivoque;Débutant;3.86;3.07;7.30;1.18;Qui a un double sens, qui peut recevoir plusieurs interprétations et qui convient à différentes choses. Ce discours est équivoque.
conservateur;Débutant;3.76;3.37;5.74;2.37;Qui tend à maintenir l'ordre social, politique et les traditions existantes.
sceptique;Débutant;3.71;3.42;5.13;2.65;(Philosophie) Qualifie les philosophes qui disent qu’il n’y a rien de certain. Pyrrhon est considéré comme l’initiateur de la philosophie sceptique.
arbitraire;Débutant;3.65;2.87;4.46;0.74;"Qui est produit par la seule volonté de l’homme, sans avoir de règle ni de fondement naturel. Or, ce qui manque à l’éclectisme, c’est justement une base scientifique et positive; et ses prétendus dogmes ne sont pas moins arbitraires et cérébrins que les dogmes des églises. — (J.-B.-François Bourb..."
anarchiste;Débutant;3.64;3.34;4.32;2.17;Partisan de l'anarchie, rejetant toute autorité étatique et hiérarchique.
dialectique;Débutant;3.60;2.93;3.98;0.85;Méthode de raisonnement consistant à analyser la réalité en mettant en évidence ses contradictions et à tenter de les dépasser.
péremptoire;Débutant;3.59;0.00;3.85;0.00;"Qui détruit d’avance toute objection ; contre quoi on ne peut rien répliquer."
objection;Débutant;3.58;4.08;3.78;12.07;Ce que l’on oppose à une affirmation, à une proposition, à une demande. Il n'y eut plus ni objections ni réplique, et le comte, s’apercevant qu’il prêchait dans le désert, s’arrêta lui-même et cessa de parler. — (Julie de Quérangal, Philippe de Morvelle, Revue des Deux Mondes, T.2,4, 1833)
nonobstant;Débutant;3.55;2.30;3.51;0.20;Malgré, en dépit de.
plausible;Débutant;3.51;3.39;3.24;2.48;"Qui semble devoir être admis ; admissible, croyable."
allocution;Débutant;3.49;2.49;3.11;0.31;Discours court prononcé par une personnalité officielle.
contester;Débutant;3.43;3.17;2.70;1.48;Mettre en doute ou refuser de reconnaître la validité d'une opinion ou d'une décision.
cohérent;Débutant;3.39;3.09;2.43;1.23;Qui présente de la cohérence. (Sens figuré) Les informations recueillies ne sont cohérentes que s'il existe, sous la croûte lunaire composée de silicate de magnésium et de pyroxène, une masse gigantesque, une couche plus profonde en «fusion partielle». — (Clément Poursain, Quelque chose d'énorme ...
gaulliste;Débutant;3.32;1.00;2.09;0.01;Partisan des doctrines politiques fondées sur les idées et l'action du général de Gaulle.
insinuer;Débutant;3.31;3.21;2.03;1.63;Faire entendre habilement et indirectement quelque chose.
contingent;Débutant;3.31;2.94;2.03;0.87;"Qui est éventuel ; qui peut arriver ou ne pas arriver. Résolu, Qu’une somme n’excédant pas soixante et dix mille dollars, soit accordée à Sa Majesté, pour défrayer les dépenses contingentes du Conseil législatif pour l’année 1861. — (Journaux de l’Assemblée législative du Canada, vol. 19, du 16 m..."
réquisitoire;Débutant;3.31;2.59;2.03;0.39;Discours ou écrit dans lequel on accumule les accusations contre quelqu'un ou quelque chose.
réactionnaire;Débutant;3.31;2.77;2.03;0.59;Qui s’oppose au progrès social, politique ou économique et cherche à rétablir un état de choses antérieur.
parabole;Débutant;3.29;3.25;1.96;1.78;Récit allégorique contenant un enseignement moral ou religieux.
métaphore;Débutant;3.28;3.61;1.89;4.04;Figure de style qui consiste à désigner une chose par une autre en vertu d'une analogie sémantique.
incohérent;Débutant;3.25;2.43;1.76;0.27;Définition non renseignée
véridique;Débutant;3.23;2.82;1.69;0.66;Définition non renseignée
monarchiste;Débutant;3.19;2.62;1.55;0.42;Partisan de la royauté ou du rétablissement de la monarchie.
diatribe;Débutant;3.17;2.08;1.49;0.12;Critique violente, pamphlet, écrit satirique ou argumentaire à charge.
polémique;Débutant;3.17;2.79;1.49;0.61;Débat agressif et contradictoire par écrit ou par parole.
controverse;Débutant;3.15;3.05;1.42;1.13;Discussion argumentée et prolongée sur une question délicate.
fallacieux;Débutant;3.13;2.00;1.35;0.10;Qui est trompeur, mensonger, illusoire.
apologie;Débutant;3.09;2.23;1.22;0.17;Discours ou écrit prenant la défense de quelqu'un ou de quelque chose.
plaidoirie;Débutant;3.09;3.06;1.22;1.14;Exposé oral fait par un avocat pour défendre une cause devant un tribunal.
allégorie;Débutant;3.06;2.58;1.15;0.38;Représentation d’une idée abstraite sous la forme d’une image, d’un tableau ou d’un récit.
étayer;Débutant;3.06;2.67;1.15;0.47;Soutenir, appuyer une thèse ou un argument par des faits ou des preuves.
déduction;Débutant;3.03;3.19;1.08;1.55;Action de soustraire une somme d'une autre. Il fait une déduction de la somme principal.
euphémisme;Débutant;3.00;3.05;1.01;1.11;(Rhétorique) Formulation plus douce d'une réalité désagréable ou choquante dans le but de l'atténuer. ‘S veschtami po gorodou !… »J’avais appris au cours de mon dîner avec l’hôtelier, le sens de cette phrase fatidique : « Vos affaires pour aller en ville ! » C’est l’horrible euphémisme qu’on adre...
réhabiliter;Débutant;3.00;2.45;1.01;0.28;Rétablir quelqu'un dans ses droits, sa réputation ou son honneur.
ellipse;Intermédiaire;2.98;2.62;0.95;0.42;Omission volontaire d'un mot qui peut être facilement rétabli par le contexte.
péroraison;Intermédiaire;2.98;0.00;0.95;0.00;Conclusion d'un discours qui résume les arguments et en appelle aux émotions.
progressiste;Intermédiaire;2.98;2.91;0.95;0.82;Partisan du progrès social, politique ou économique, et des réformes favorisant ce progrès.
plaidoyer;Intermédiaire;2.94;2.78;0.88;0.60;Discours verbal ou écrit en faveur de quelqu’un ou de quelque chose.
