Mot;Score_Rap;Artists_Count;Occurrences;Pageviews;Avg_Year;Zipf_Lexique;Wikt_Status;Definition
vant;0.782;17;23;4757084;2018.2;0.00;Non trouvé;Potentiel argot émergent non répertorié.
ptit;0.780;20;34;6477317;2016.7;0.00;Non trouvé;Potentiel argot émergent non répertorié.
contributors;0.777;16;50;18903218;2016.4;0.00;Non trouvé;Potentiel argot émergent non répertorié.
jusquà;0.775;20;32;6469363;2016.4;0.00;Non trouvé;Potentiel argot émergent non répertorié.
aujourdhui;0.758;16;22;7265922;2016.6;0.00;Non trouvé;Potentiel argot émergent non répertorié.
big;0.747;12;21;11102667;2017.2;0.00;Non trouvé;Potentiel argot émergent non répertorié.
jsuis;0.731;12;18;3386287;2017.9;0.00;Non trouvé;Potentiel argot émergent non répertorié.
deux-trois;0.729;13;17;4101669;2017.1;0.00;Non trouvé;Potentiel argot émergent non répertorié.
tai;0.720;13;20;3837174;2016.7;0.00;Non trouvé;Potentiel argot émergent non répertorié.
money;0.717;10;15;8703144;2016.9;0.00;Non trouvé;Potentiel argot émergent non répertorié.
ptits;0.717;13;17;4275177;2016.4;0.00;Non trouvé;Potentiel argot émergent non répertorié.
pah;0.715;11;19;1332815;2018.8;0.00;Non trouvé;Potentiel argot émergent non répertorié.
dems;0.712;7;17;6607169;2019.1;0.00;Non trouvé;Potentiel argot émergent non répertorié.
tess;0.709;12;17;4695716;2016.3;0.00;Non trouvé;Potentiel argot émergent non répertorié.
niggas;0.706;8;15;19971400;2016.5;0.00;Non trouvé;Potentiel argot émergent non répertorié.
opj;0.698;9;10;1547929;2018.9;0.00;Non trouvé;Potentiel argot émergent non répertorié.
ients-cli;0.694;7;10;1913246;2019.8;0.00;Non trouvé;Potentiel argot émergent non répertorié.
ice;0.694;6;7;4634670;2019.4;0.00;Non trouvé;Potentiel argot émergent non répertorié.
milli;0.692;9;10;2282050;2018.0;2.20;Non trouvé;Potentiel argot émergent non répertorié.
kush;0.691;10;13;6678457;2015.8;0.00;Non trouvé;Potentiel argot émergent non répertorié.
get;0.689;6;19;27446658;2016.7;0.00;Non trouvé;Potentiel argot émergent non répertorié.
oh-oh;0.688;7;8;1449758;2019.9;0.00;Non trouvé;Potentiel argot émergent non répertorié.
feat;0.685;9;11;2427820;2017.5;0.00;Non trouvé;Potentiel argot émergent non répertorié.
brr;0.685;8;8;1962395;2018.5;0.00;Non trouvé;Potentiel argot émergent non répertorié.
pt-être;0.685;9;13;5836805;2016.3;0.00;Non trouvé;Potentiel argot émergent non répertorié.
paw;0.684;7;10;2425932;2018.9;0.00;Non trouvé;Potentiel argot émergent non répertorié.
god;0.683;7;11;7273400;2017.4;0.00;Non trouvé;Potentiel argot émergent non répertorié.
know;0.679;6;16;22924136;2016.4;0.00;Non trouvé;Potentiel argot émergent non répertorié.
woah;0.673;5;5;1127397;2021.2;0.00;Non trouvé;Potentiel argot émergent non répertorié.
hebrew;0.673;2;2;2553558;2024.5;0.00;Non trouvé;Potentiel argot émergent non répertorié.
being;0.673;2;2;2553558;2024.5;0.00;Non trouvé;Potentiel argot émergent non répertorié.
pac;0.672;9;11;2298184;2016.9;0.00;Non trouvé;Potentiel argot émergent non répertorié.
high;0.668;7;11;12654923;2015.7;0.00;Non trouvé;Potentiel argot émergent non répertorié.
est-cque;0.665;7;7;1321086;2018.7;0.00;Non trouvé;Potentiel argot émergent non répertorié.
crips;0.662;6;7;9293039;2016.7;0.00;Non trouvé;Potentiel argot émergent non répertorié.
bae;0.661;6;6;574917;2020.5;0.00;Non trouvé;Potentiel argot émergent non répertorié.
nigga;0.659;6;21;27873126;2014.9;0.00;Non trouvé;Potentiel argot émergent non répertorié.
fonce-dé;0.657;8;9;730347;2018.3;0.00;Non trouvé;Potentiel argot émergent non répertorié.
taime;0.657;9;10;3187751;2015.6;0.00;Non trouvé;Potentiel argot émergent non répertorié.
youre;0.656;5;7;7236862;2017.7;0.00;Non trouvé;Potentiel argot émergent non répertorié.
nwaar;0.655;5;6;1191847;2020.2;0.00;Non trouvé;Potentiel argot émergent non répertorié.
ekip;0.655;4;11;2512297;2020.3;0.00;Non trouvé;Potentiel argot émergent non répertorié.
russian;0.655;3;5;13206719;2019.4;0.00;Non trouvé;Potentiel argot émergent non répertorié.
mala;0.654;4;10;1445053;2021.0;0.00;Non trouvé;Potentiel argot émergent non répertorié.
plata;0.653;5;5;1644650;2019.6;0.00;Non trouvé;Potentiel argot émergent non répertorié.
listen;0.653;5;6;9422692;2017.2;0.00;Non trouvé;Potentiel argot émergent non répertorié.
now;0.653;5;14;19712353;2016.1;0.00;Non trouvé;Potentiel argot émergent non répertorié.
