Mot;Difficulté;Score_C3;Buzz_Score;Trend_Ratio;Pageviews_Total;Recency_Score;Orality_Score;Catégorie_Source;Définition
doro;Expert;0.975;1.00;5.24;3132;1.00;0.90;Néologismes en français;(Néologisme) (Argot) Faire l’amour, avoir des relations sexuelles. Mais pitié il a doro avec toute la France vous avez pas peur? 😭😭😭😭 — (Tweet de @rrryyynnnaaa publié le 4 avril 2026 → lire en ligne)
cooked;Expert;0.975;1.00;3.85;210;1.00;0.90;Argot Internet en français;(Argot Internet) (Argot) (Anglicisme) Qui est dans une situation difficile, qui va mal finir, qui est foutu. Je vais me remettre à blue sky parce que l’autre réseau est cooked. — (alshymi.bsky.social sur Bluesky, bsky.app, 22 janvier 2025 → lire en ligne)
paillassonnage;Expert;0.975;1.00;7.08;58;1.00;0.90;Termes argotiques en français;Action de paillassonner, résultat de cette action. Les fèves fraîches sont étalées sur le paillassonnage en couches d'environ 40 cm d'épaisseur.
merdification;Expert;0.905;1.00;3.03;294;0.80;0.90;Néologismes en français;(Néologisme) (Informatique, Internet, Commerce) Processus de dégradation de la qualité des services numériques. Les intelligences artificielles génératives ont le potentiel d’être aussi bénéfiques que maléfiques pour la société. Mais des indices laissent déjà présager qu’elles seront au centre de...
primultimité;Expert;0.895;0.80;1.65;137;1.00;0.90;Néologismes en français;(Néologisme) (Rare) (Philosophie) Caractère de ce qui arrive pour la première et la dernière fois, qui n’arrive qu’une fois. Cette irréversibilité fait de chaque instant de notre existence une occasion unique, tout à la fois première et dernière. Jankélévitch ne cesse de revenir sur ce paradoxe d...
puffeur;Expert;0.895;0.80;1.60;66;1.00;0.90;Néologismes en français;(Néologisme) (Familier) Fumeur qui utilise une cigarette électronique jetable. Les jeunes « puffeurs » d’aujourd’hui « seront les fumeurs de demain, répète Loïc Josseran ». — (journal 20 minutes, édition Paris-IDF, 9 novembre 2022, page 8)
rogommiste;Expert;0.895;0.80;2.43;156;1.00;0.90;Termes populaires en français;"(Vieilli) (Populaire) Débitant de vins et spiritueux. Le lendemain, dès sept heures, il arriva rue Notre-Dame-des-Victoires, devant la boutique d'un rogomiste, où Regimbart avait coutume de prendre le vin blanc. — (Gustave Flaubert, L'éducation sentimentale, deuxième partie, chapitre Ier ; Éditio..."
rogommeux;Expert;0.895;0.80;1.77;149;1.00;0.90;Termes populaires en français;(Vieilli) (Populaire) Éraillé, enroué. [François-Henri Désérable], ce jeune romancier frémissant du XXIe siècle, qui cultive un goût pour les mots précieux (puddlé, zinzolin, bardache, rogommeuse, bibus, en valdrague, à la venvole), nous entraîne dans un Paris survolté […]. — (Jean-Claude Raspien...
fraise framboise myrtille;Expert;0.895;0.80;1.64;81;1.00;0.90;Argot Internet en français;(Mélioratif) (Argot Internet) Que l’on trouve incroyable, formidable. waouh, tes chaussures sont Fraise framboise myrtille, elle sont incroyables. — (« Fraise framboise myrtille : définition de nos ados », podcast Le dico des ados, France Bleu, 26 décembre 2023 → lire en ligne)
incompréhensibiliser;Expert;0.895;0.80;2.14;20;1.00;0.90;Néologismes en français;"(Néologisme) (Rare) Rendre incompréhensible. Moi aussi ça me gave, je m’en balance de réalisme et autres Victor Hugo, mais je ne pense pas que c’est une raison pour ""incompréhensibiliser"" mes messages... — (site www.jeuxvideo.com)"
Perlin;Expert;0.895;0.80;1.55;569;1.00;0.90;Néologismes en français;(Géographie) Commune d’Allemagne, située dans le Mecklembourg-Poméranie-Occidentale.
OK Tier;Expert;0.895;0.80;2.89;830;1.00;0.90;Argot Internet en français;(Argot Internet) (Anglicisme) Passable, dans la moyenne, pas extraordinaire. C’est largement OK Tier d'avoir 10 maps à un lancement de jeu. — (TakeyZ, message dans la conversation « Tier List des maps », Jeuxvideo.com, 4 juin 2024.)
citoyan;Expert;0.825;0.80;2.20;108;0.80;0.90;Néologismes en français;(Politique) (Néologisme) Personne peu importe son identité de genre faisant partie des personnes qui, dans un État organisé, jouissent des mêmes droits et obéissent aux mêmes lois. Je résume ici les réalisations de cette Convention, puis livre mon opinion sur les enseignements à tirer de cette ex...
buchenwalderies;Expert;0.825;0.80;2.03;52;0.80;0.90;Termes familiers en français;(Rare) (Familier) Univers des camps de concentration nazis. La suite… vous allez lire… j’ai risqué plusieurs fois la bastos mortelle entre les deux yeux… le peloton… l’amputation, que sais-je ?… le billet de fourgon pour les buchenwalderies, les nuits brouillardeuses d’outre-Rhin, je me demande, ...
