Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Difficulte_Abstraction;Pertinence
allitération;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.278;0.650;0.50
amphigourique;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.413;0.550;0.50
aphorisme;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.090;0.650;0.50
aphoristique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.498;0.550;0.50
apophtegme;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.893;0.500;0.50
assonance;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.607;0.650;0.50
aède;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.301;0.500;0.50
calice;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.010;0.150;0.50
calligramme;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.500;0.50
cantilène;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.500;0.50
codex;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.051;0.150;0.50
cénacle;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.500;0.50
césure;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.500;0.50
diatribe;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.030;0.500;0.50
dilettante;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.500;0.50
enlumineur;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.464;0.500;0.50
esthète;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.500;0.50
estocade;ARTS_ET_LANGAGE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.500;0.50
faconde;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.020;0.500;0.50
frémissement;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.070;0.500;0.50
