Mot;Pageviews;Difficulte_V1;Difficulte_V2;Delta_Difficulte;Abstraction_V1;Abstraction_V2;Delta_Abstraction
allitération;1305;0.815;0.810;-0.005;0.650;0.650;0.000
amphigourique;6022;0.656;0.621;-0.035;0.550;0.550;0.000
aphorisme;4658;0.539;0.351;-0.188;0.650;0.650;0.000
aphoristique;328;0.667;0.667;0.000;0.550;0.550;0.000
apophtegme;2580;0.988;1.000;0.012;0.500;0.500;0.000
assonance;910;0.733;0.733;0.000;0.650;0.650;0.000
aède;1647;0.443;0.433;-0.010;0.500;0.500;0.000
calice;3093;0.010;0.010;0.000;0.150;0.150;0.000
calligramme;943;1.000;1.000;0.000;0.500;0.500;0.000
cantilène;617;0.406;0.406;0.000;0.500;0.500;0.000
codex;2007;0.242;0.213;-0.029;0.150;0.150;0.000
cénacle;2811;0.347;0.123;-0.224;0.500;0.500;0.000
césure;1655;0.337;0.228;-0.109;0.500;0.500;0.000
diatribe;2912;0.090;0.046;-0.044;0.500;0.500;0.000
dilettante;6892;0.164;0.050;-0.114;0.500;0.500;0.000
enlumineur;170;0.464;0.464;0.000;0.500;0.500;0.000
esthète;5315;0.080;0.020;-0.060;0.500;0.500;0.000
estocade;994;0.357;0.357;0.000;0.500;0.500;0.000
faconde;4424;0.063;0.020;-0.043;0.500;0.500;0.000
frémissement;363;0.070;0.070;0.000;0.500;0.500;0.000
funambule;4876;0.121;0.040;-0.081;0.500;0.500;0.000
garrulité;1933;0.997;1.000;0.003;0.650;0.650;0.000
gnomique;679;1.000;1.000;0.000;0.550;0.550;0.000
grimoire;1668;0.329;0.162;-0.167;0.150;0.150;0.000
harangue;2642;0.199;0.159;-0.040;0.500;0.500;0.000
hémistiche;1121;0.735;0.544;-0.191;0.500;0.500;0.000
héraut;4998;0.370;0.303;-0.067;0.500;0.500;0.000
incantation;1257;0.144;0.105;-0.039;0.650;0.650;0.000
invective;1945;0.181;0.153;-0.028;0.500;0.500;0.000
laconique;6049;0.092;0.040;-0.052;0.550;0.550;0.000
laudateur;1139;0.724;0.530;-0.194;0.500;0.500;0.000
libation;1863;0.465;0.453;-0.012;0.650;0.650;0.000
liminaire;7184;0.604;0.166;-0.438;0.550;0.550;0.000
liturgie;1540;0.030;0.030;0.000;0.500;0.500;0.000
loquace;2540;0.020;0.020;0.000;0.500;0.500;0.000
loquacité;362;0.084;0.084;0.000;0.650;0.650;0.000
lyrisme;495;0.070;0.070;0.000;0.650;0.893;0.243
mignardise;2143;0.550;0.408;-0.142;0.500;0.500;0.000
mignonne;1063;0.030;0.030;0.000;0.500;0.500;0.000
murmure;1271;0.020;0.020;0.000;0.500;0.527;0.027
mélopée;3419;0.020;0.020;0.000;0.500;0.500;0.000
ménestrel;1343;0.427;0.421;-0.006;0.550;0.550;0.000
métrique;1330;0.446;0.388;-0.058;0.550;0.550;0.000
oblation;1692;0.471;0.461;-0.010;0.650;0.650;0.000
ostensoir;955;0.132;0.132;0.000;0.150;0.150;0.000
palimpseste;4190;0.442;0.225;-0.217;0.500;0.500;0.000
panégyrique;2486;0.457;0.332;-0.125;0.550;0.550;0.000
pataquès;9033;0.396;0.305;-0.091;0.500;0.500;0.000
patène;661;0.424;0.424;0.000;0.150;0.150;0.000
poétique;1030;0.030;0.030;0.000;0.550;0.550;0.000
prolixe;3692;0.112;0.020;-0.092;0.500;0.500;0.000
prolixité;326;0.516;0.516;0.000;0.650;0.650;0.000
psalmodie;555;0.242;0.242;0.000;0.500;0.500;0.000
psalmodier;1053;0.349;0.338;-0.011;0.500;0.500;0.000
psautier;452;0.579;0.579;0.000;0.150;0.150;0.000
quiproquo;2963;0.285;0.240;-0.045;0.500;0.500;0.000
ratiociner;3104;0.976;1.000;0.024;0.500;0.500;0.000
rhapsode;593;1.000;1.000;0.000;0.500;0.500;0.000
rhapsodie;1055;0.406;0.394;-0.012;0.500;0.500;0.000
satirique;795;0.367;0.367;0.000;0.550;0.550;0.000
satyrique;266;1.000;1.000;0.000;0.550;0.550;0.000
soliloque;1961;0.154;0.126;-0.028;0.500;0.500;0.000
somnambule;768;0.050;0.050;0.000;0.500;0.372;-0.128
soporifique;1421;0.312;0.241;-0.071;0.550;0.550;0.000
talisman;1473;0.030;0.030;0.000;0.500;0.618;0.118
tintamarre;917;0.050;0.050;0.000;0.500;0.628;0.128
troubadour;2389;0.273;0.237;-0.036;0.500;0.500;0.000
trépidation;365;0.162;0.162;0.000;0.650;0.650;0.000
vate;270;1.000;1.000;0.000;0.500;0.500;0.000
vaticination;1518;0.640;0.504;-0.136;0.650;0.650;0.000
verbeux;1185;0.423;0.419;-0.004;0.500;0.500;0.000
volubile;3073;0.030;0.030;0.000;0.500;0.500;0.000
volubilité;489;0.102;0.102;0.000;0.650;0.650;0.000
vélin;1156;0.223;0.217;-0.006;0.150;0.150;0.000
élixir;1644;0.066;0.010;-0.056;0.500;0.500;0.000
élucubration;2783;0.600;0.419;-0.181;0.650;0.650;0.000
élégiaque;1796;0.406;0.382;-0.024;0.500;0.500;0.000
élégie;3323;0.345;0.374;0.029;0.500;0.500;0.000
épigone;5686;0.382;0.118;-0.264;0.500;0.500;0.000
acrimonie;3759;0.226;0.172;-0.054;0.600;0.600;0.000
anachorète;3460;0.377;0.326;-0.051;0.600;0.600;0.000
atermoiement;3564;0.537;0.357;-0.180;0.600;0.600;0.000
atrabilaire;2880;0.541;0.520;-0.021;0.650;0.650;0.000
auguste;3269;0.020;0.020;0.000;0.600;0.600;0.000
bilieux;714;0.347;0.347;0.000;0.600;0.600;0.000
bonhomie;2715;0.030;0.030;0.000;0.600;0.600;0.000
brigand;1569;0.020;0.020;0.000;0.250;0.250;0.000
captieux;2019;0.677;0.393;-0.284;0.600;0.600;0.000
causticité;213;0.199;0.199;0.000;0.750;0.750;0.000
caustique;2903;0.142;0.040;-0.102;0.650;0.650;0.000
circonspect;5247;0.064;0.060;-0.004;0.600;0.600;0.000
clémence;1005;0.030;0.030;0.000;0.750;0.795;0.045
collusion;1878;0.310;0.193;-0.117;0.600;0.600;0.000
condottiere;866;0.330;0.330;0.000;0.250;0.250;0.000
connivence;3476;0.050;0.050;0.000;0.750;0.750;0.000
cénobite;2182;0.672;0.657;-0.015;0.600;0.600;0.000
effronterie;986;0.174;0.174;0.000;0.600;0.600;0.000
estafette;2306;0.040;0.040;0.000;0.250;0.250;0.000
facétieux;2395;0.209;0.173;-0.036;0.600;0.600;0.000
fallacieux;8841;0.131;0.050;-0.081;0.600;0.600;0.000
famélique;2047;0.154;0.124;-0.030;0.650;0.650;0.000
