Domaine;Mot;Score_C5;Zipf;Définition
droit;usufruit;1.000;2.67;(Droit de propriété) Droit de jouir d’un bien dont la propriété appartient à un autre. En ce cas, la fille a sur le frère puiné un avantage qui consiste en ce qu'elle a la propriété de sa part, si elle se marie , tandis que le frère puîné n'a que l’usufruit de la sienne. (Art. 268 et 346). — (Phi...
droit;emphytéose;1.000;0.00;(Droit de propriété) Bail de longue durée (de 18 à 99 ans) dans lequel le locataire (nommé emphytéote) a un droit réel sur l’immeuble ou sur un terrain agricole, c’est-à-dire qu’il peut l’hypothéquer, le louer ou le sous-louer, moyennant une redevance annuelle nommée canon. Les emphytéoses sont d...
droit;jurisprudence;1.000;2.91;(Droit) (Désuet) Science du droit et des lois. La section de jurisprudence de l’Académie des Sciences morales et politiques.
droit;préjudice;1.000;3.29;En cas de cessation de ses relations avec le mandant, l’agent commercial a droit à une indemnité compensatrice en réparation du préjudice subi. — (Art.12, loi no 91-593 du 25 juin 1991 relative aux rapports entre les agents commerciaux et leurs mandants, J.O.R.F., 27 juin 1991)
droit;subroger;1.000;0.00;(Droit) Substituer, mettre à la place de quelqu’un. Subroger quelqu’un à des créanciers.
droit;synallagmatique;1.000;0.00;(Droit) Qualifie les contrats qui contiennent une obligation réciproque entre les parties. Les actes sous seing privé qui contiennent des conventions synallagmatiques ne sont valables qu’autant qu’ils ont été faits en autant d’originaux qu’il y a de parties ayant un intérêt distinct. — (Article 1...
droit;caducité;1.000;1.85;Cette tendresse éperdue, aux prises avec sa raison, cette tendresse qui avait saigné des absurdités de la grotte miraculeuse, que l’orgueilleuse caducité du Vatican avait ensanglantée à son tour, se contentait enfin chez l’époux et chez le père, chez l’homme confiant dans le travail, selon la jus...
droit;litige;0.900;2.87;(Droit) Contestation en justice. Cette terre est en litige.
droit;dol;0.900;2.53;(Droit) Toute espèce d’artifice employé pour induire ou entretenir une personne dans une erreur propre à la faire agir contrairement à ses intérêts. L’acheteur pouvant lui-même se convaincre de la plupart des vices que nous avons passés en revue, le vendeur n’en est nullement responsable, à moins...
droit;algorithmique;0.800;2.11;"(Informatique) Domaine d'étude de la résolution de problèmes par la mise en œuvre de suites d’opérations élémentaires selon un processus défini aboutissant à une solution ; il ne faut pas la confondre avec la programmation informatique qui est sa mise en application. Les algorithmes de tri font p..."
