Mot;Score_Rap;Artists_Count;Occurrences;Pageviews;Avg_Year;Zipf_Lexique;Wikt_Status;Definition
flow;0.812;24;40;9471394;2016.8;0.00;argot;(Musique) Flux, rythme avec lequel le rappeur débite les paroles. Exemple d’utilisation manquant. (Ajouter)
street;0.759;15;23;17387147;2015.9;0.00;argot;(Anglicisme) (Argot) Rue. Dès les premières marches ils rencontrèrent des traces de sang. Au bas du casse-cou, dans la ruelle étroite et sans nom qui redescend dans la street, ils trouvèrent un san...
poto;0.752;17;31;6113636;2016.2;0.00;argot;(Argot) (France) Ami·e, pote, compagnon d’affaire ou de loisir. Exemple d’utilisation manquant. (Ajouter)
moula;0.750;12;18;2742280;2019.3;1.85;argot;(Argot) Argent. Au programme de cette combinaison explosive illustrée par un clip stylé : du bif, du bif et encore du bif. Entourés par leurs potes et des jolies créatures, les deux artistes sapés ...
binks;0.739;12;24;2259599;2018.9;0.00;argot;(Argot) Quartier. Le quartier, le charbon, les travaux / Ça bosse dur pour changer le train de vie / Ça commence tôt ça finit tard gros / Ah c'est le binks — (HD La Relève, C'est le binks, février ...
gucci;0.736;12;21;3594120;2018.1;0.00;familier;(Familier) Qui possède du style, de l’élégance. Il est trop gucci, ton bodysuit.
paname;0.735;13;17;4467421;2017.3;0.00;argot, familier;(Familier) (Argot) Paris. Il y a, pour les honnêtes femmes, à Bruxelles, une sécurité de la rue qui n’existe plus, de longue date, à Paname. — (Léon Daudet, Souvenirs des milieux littéraires, polit...
glock;0.733;12;27;3282316;2018.1;0.00;argot;(Argot) (Générique) Arme à feu, pistolet. baisse ton froc, charmant glock — (Seth Gueko feat. Sefyu, Patate de forain, sur le street album Barillet plein, 2005.)
weed;0.730;13;20;18237388;2015.0;0.00;argot;"(Argot) Marihuana ; cannabis. Machinalement, Max saisit le joint et tire une bouffée. Il n'a pas fumé de weed depuis des années. La saveur lui rappelle des bons moments avant son mariage, quand il ..."
biff;0.729;12;23;4937537;2017.3;0.00;argot;(Argot) Argent, billet de banque. Faire du biff, c’est michto, mais le biff attire les michtos. — (Seth Gueko, « Michto », Michto, 2011)
ken;0.728;14;21;4993646;2016.3;0.00;verlan;(Vulgaire) Niquer (au sens sexuel), faire l’amour. C’est vrai qu’on bandait à peine mais on voulait déjà ken. — (Neg Marron, « Le Bilan », sur l’album Le bilan, 2000.)
check;0.718;11;13;4525778;2017.3;0.00;familier;(Québec) (Familier) (Anglicisme) Vérification, examen­.
porsche;0.710;11;11;1932770;2018.1;0.00;populaire;Voiture de la marque Porsche. Vous comprenez, j'arrive pas à me payer ma piscine et puis je voudrais m'acheter une porsche. — (La rupture conventionnelle, trop belle pour être honnête ?, rue89.com,...
seum;0.710;13;17;3358054;2016.3;0.00;argot;"(Argot) Rancœur, sentiment de colère, de frustration et de dégoût ; cause de ce dégoût. […] alors tu peux bien écouter son p’tit son à la Zazie tu te tapes quand même un putain de seum total quand ..."
gamos;0.705;10;14;1661855;2018.6;0.00;argot;(Argot) (Automobile) Voiture. Dix-huit piges, ça pilote des gros gamos de bâtards, ouais, ouais, ouais — (Éliette Abécassis, Instagrammable, Grasset, mars 2021, page 24)
life;0.701;10;16;18305092;2014.8;0.00;argot;(Argot) Vie. Est-ce que je dois profiter de ma life ? — (Maska feat. Black M, Dr Bériz, Profiter de ma life, 2014)
bicrave;0.696;12;16;2805163;2016.2;0.00;argot;(Argot) Vente de drogue. Le cannabisme a créé un lumpenprolétariat de la bicrave, une nouvelle classe de travailleurs exploités par un modèle économique ultralibéral, voire barbare, qui assujettit ...
bédo;0.687;10;11;1570061;2017.6;0.00;argot, verlan;(Argot) Morceau de haschisch. Toute la journée, ils indiquent les lieux pour pécho. Pour le bédo, direction le bloc de quatre étages. Pour la coke, la tour. — (Rachid Santaki, Flic ou caillera, Édi...
belek;0.679;10;12;3810174;2016.0;0.00;argot, familier;(Familier) Attention. Fais belek mec.
mif;0.678;8;12;6352049;2016.5;0.00;verlan;Synonyme de mifa, famille. Une partie de ma mif est musulmane, mon cousin porte la kippa. — (Ken Samaras alias Nekfeu, Un homme et un microphone no 2, 2016)
tieks;0.675;10;16;2339999;2016.4;0.00;populaire, verlan;Zone périurbaine où vivent les classes populaires. Exemple d’utilisation manquant. (Ajouter)
wesh;0.673;9;16;4007507;2016.2;0.00;argot, verlan;(Argot) Salutation amicale. Wesh cousin — (Wesh Cousin, série de 2004.)
tah;0.673;9;16;2198155;2017.0;0.00;argot;"(Argot) Comme.[1][2] Double verre de whiskyFrappe tah LewandowskiTu la verras pas venirComme quand ça tire, tah Vladimir — (Heuss L'enfoirée, ""L'enfoiré, En esprit, 2019 → lire en ligne)"
