Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Pertinence;Origine_Geographique
allitération;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.810;0.00;FRANCAIS
amphigourique;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;MODERNE_20;0.621;0.00;FRANCAIS
aphorisme;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.351;0.00;FRANCAIS
aphoristique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.667;0.00;FRANCAIS
apophtegme;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ANTIQUITE;0.368;0.00;FRANCAIS
assonance;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.733;0.00;FRANCAIS
aède;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;0.433;0.00;FRANCAIS
calice;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.010;0.00;FRANCAIS
calligramme;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.00;FRANCAIS
cantilène;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.406;0.00;FRANCAIS
codex;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;0.213;0.00;FRANCAIS
cénacle;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.123;0.00;FRANCAIS
césure;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.228;0.00;FRANCAIS
diatribe;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.046;0.00;FRANCAIS
dilettante;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.00;ITALIEN
enlumineur;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.464;0.00;FRANCAIS
esthète;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.020;0.00;FRANCAIS
estocade;ARTS_ET_LANGAGE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.357;0.00;ITALIEN
faconde;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
frémissement;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;POSITIF_EXCITANT;CLASSIQUE_17_18;0.070;0.00;FRANCAIS
funambule;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
garrulité;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;1.000;0.00;FRANCAIS
