Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
abandon	3.98	1.24	-1.5163	2.80	2.28	-0.6261
abat-jour	2.22	1.30	0.5641	5.33	5.15	2.9454
abattoir	2.43	1.09	-1.1710	4.47	4.08	0.7413
abbé	2.08	1.28	0.7119	2.94	4.33	1.6256
abdomen	3.29	1.58	1.2878	5.64	2.62	-0.2260
abeille	4.12	1.51	0.4983	6.84	0.21	0.3781
abîme	2.43	1.28	0.0383	3.22	2.62	-0.6837
aboiement	3.00	1.41	0.1830	3.76	3.96	0.5995
abondance	3.72	1.34	-0.8016	2.90	2.02	-0.9222
abonné	3.81	1.31	-1.0315	2.63	2.66	-0.1175
abonnement	4.02	1.33	-0.8916	2.83	2.13	-0.7713
abricot	2.86	1.37	0.0447	6.51	0.90	-0.0889
abstinence	3.12	1.39	-0.0869	2.72	2.28	-0.5438
abstraction	3.01	1.44	0.4020	2.15	2.02	-0.0221
abus	4.09	1.37	-0.5908	3.31	2.53	-0.8307
académie	4.06	1.33	-0.8861	3.15	2.86	-0.4094
accélérateur	3.57	1.57	1.0439	4.11	3.92	0.4842
accent	4.95	1.18	-1.2993	3.85	3.06	-0.5363
acceptation	4.11	1.50	0.4152	2.28	1.44	-0.5589
accès	4.68	1.37	-0.2761	2.75	2.66	-0.2471
accession	2.70	1.33	-0.0343	2.12	2.04	0.0428
accessoire	4.69	1.38	-0.1935	4.08	2.89	-0.7519
accident	5.00	1.12	-1.6091	4.70	2.34	-1.1594
accord	4.79	1.35	-0.3191	2.86	3.20	0.2091
accordéon	2.60	1.34	0.1843	6.35	1.46	-0.1181
accouplement	3.30	1.38	-0.3093	4.26	2.86	-0.7864
accroc	2.47	1.38	0.6847	2.29	2.72	0.3689
accusation	3.91	1.29	-1.1784	2.88	2.62	-0.4059
accusé	4.32	1.31	-0.9478	3.06	2.40	-0.7602
achat	4.91	1.30	-0.5465	3.95	2.89	-0.7372
acide	3.97	1.43	-0.1545	4.20	3.46	-0.1167
acier	3.44	1.56	1.0226	4.91	3.10	-0.3363
acquisition	3.36	1.44	0.1040	2.55	1.66	-0.7819
acte	4.26	1.17	-1.9056	2.98	2.76	-0.3718
acteur	4.73	1.25	-1.0753	4.93	2.13	-1.2164
action	5.08	1.41	0.4644	2.97	1.82	-1.1166
activation	3.91	1.46	0.0771	2.47	1.85	-0.5701
actualité	4.91	1.57	1.5345	2.47	2.19	-0.3272
adage	1.50	0.87	-0.2279	1.84	2.37	0.7446
adaptation	4.09	1.41	-0.2922	2.65	1.85	-0.7815
adhésion	2.87	1.22	-1.0108	2.70	2.22	-0.5701
adieu	3.76	1.47	0.1710	2.98	2.43	-0.6666
adjectif	4.38	1.68	2.0529	2.62	2.43	-0.3067
adjoint	3.94	1.30	-1.1087	3.07	2.43	-0.7418
administrateur	3.95	1.42	-0.2319	3.31	2.76	-0.6187
administration	4.54	1.32	-0.7484	2.73	2.16	-0.6477
admiration	3.87	1.35	-0.7515	2.69	2.04	-0.6911
admission	4.80	1.29	-0.7344	3.16	2.82	-0.4506
adolescente	5.02	1.32	-0.2735	5.40	2.89	-0.2038
adoption	4.12	1.19	-1.8220	3.29	2.34	-0.9788
adresse	5.75	1.21	0.2110	4.16	3.20	-0.4173
adverbe	3.88	1.64	1.5766	2.95	2.66	-0.4397
adversaire	4.11	1.26	-1.3637	3.45	2.43	-0.9941
aéroport	4.48	1.37	-0.4278	6.45	0.96	-0.1709
affection	4.43	1.09	-2.3083	3.01	2.07	-0.9785
affichage	4.12	1.17	-1.9488	3.97	2.43	-1.1688
affirmation	4.09	1.43	-0.1397	2.72	2.25	-0.5678
affluence	2.25	1.36	0.9343	1.94	1.06	-0.2152
affolement	2.65	1.32	-0.0335	2.84	2.16	-0.7588
âge	5.95	1.00	-0.5906	3.08	3.46	0.3167
agenda	5.19	1.45	0.9255	5.86	1.88	-0.5661
agente	3.69	1.44	-0.0475	4.05	3.13	-0.4916
agilité	3.38	1.22	-1.4803	2.98	2.59	-0.5261
agitation	3.69	1.35	-0.7218	3.08	2.07	-1.0359
agneau	3.18	1.35	-0.4347	6.60	0.76	0.0250
agonie	2.76	1.23	-0.8044	2.81	2.25	-0.6601
agrafeuse	3.26	1.72	2.5509	6.52	0.67	-0.1357
agressivité	4.06	1.36	-0.6694	3.16	2.76	-0.5163
agriculteur	3.77	1.37	-0.5935	5.37	2.10	-0.9239
agriculture	3.77	1.56	0.9016	4.11	3.06	-0.5725
agrumes	3.08	1.33	-0.4872	5.70	2.69	-0.0993
aide	5.65	1.35	0.9684	2.95	2.62	-0.4700
aïeul	1.72	0.93	-0.5250	2.26	2.66	0.3481
aigle	3.18	1.58	1.3751	6.77	0.26	0.2476
aigre	2.57	1.35	0.3029	3.05	3.76	0.7282
ail	4.27	1.51	0.5454	6.34	0.96	-0.3493
aile	4.05	1.39	-0.4494	6.32	0.85	-0.4172
aimant	3.73	1.54	0.7430	5.02	3.61	0.3336
aisance	2.50	1.22	-0.4823	2.39	2.34	-0.1054
ajout	3.84	1.16	-2.0299	3.09	2.22	-0.9329
ajustage	2.58	1.27	-0.2756	2.75	2.34	-0.5256
album	4.65	1.41	-0.0032	5.63	2.56	-0.2956
alerte	4.19	1.34	-0.7841	3.45	2.76	-0.6994
algèbre	3.55	1.71	2.2855	4.02	3.46	-0.1087
alibi	2.42	1.33	0.4061	2.05	2.10	0.1914
alignement	3.56	1.36	-0.6044	3.80	2.34	-1.2115
aliment	4.63	1.41	-0.0197	4.92	3.10	-0.3309
alimentation	4.53	1.38	-0.3204	3.86	3.13	-0.4617
allée	3.95	1.46	0.0775	4.45	3.46	-0.0885
allégresse	2.26	1.29	0.4169	2.16	1.21	-0.4957
alligator	2.79	1.37	0.1334	6.68	0.56	0.1238
allocution	2.32	1.20	-0.2980	1.83	1.12	-0.0077
allure	3.87	1.43	-0.1542	2.65	1.90	-0.7452
allusion	3.19	1.41	0.0015	2.40	2.10	-0.3052
altitude	3.44	1.46	0.2115	4.26	2.28	-1.3082
amande	4.19	1.46	0.1183	6.23	1.37	-0.3511
amante	2.44	1.45	1.2675	3.18	3.39	0.1515
amas	2.08	1.14	-0.1979	3.00	3.57	0.5222
amateur	3.87	1.35	-0.7515	3.18	2.53	-0.7429
ambassadeur	3.61	1.40	-0.3274	4.04	2.86	-0.7831
ambiance	4.04	1.28	-1.2396	2.70	1.93	-0.7810
ambiguïté	3.30	1.32	-0.7444	1.97	1.12	-0.2395
ambulance	4.51	1.50	0.5940	6.44	0.94	-0.1940
âme	4.22	1.48	0.2859	3.09	4.12	1.1930
aménagement	3.28	1.28	-1.0091	3.01	1.96	-1.0593
amende	4.10	1.26	-1.3658	4.88	3.92	0.6663
amertume	2.27	1.32	0.6080	2.43	2.53	0.0040
amnésie	3.12	1.39	-0.0869	2.84	2.59	-0.3974
amortisseur	2.50	1.09	-1.2888	3.50	3.65	0.2833
ampère	2.34	0.98	-1.6228	2.54	3.20	0.5523
ampleur	3.65	1.27	-1.2730	2.58	2.02	-0.5884
amplificateur	2.08	0.67	-2.4826	4.19	3.10	-0.5355
amplitude	3.52	1.77	2.8597	3.05	2.69	-0.4942
ampoule	4.04	1.34	-0.8174	6.71	0.31	0.1406
analogie	3.37	1.53	0.8154	2.19	1.96	-0.1200
ananas	4.12	1.76	2.6938	6.91	0.10	0.5101
anarchie	2.66	1.36	0.2398	2.69	2.56	-0.2728
anatomie	3.74	1.69	2.0420	4.04	2.92	-0.7137
ancêtre	3.46	1.31	-0.9152	3.68	3.06	-0.4860
âne	2.80	1.47	0.8831	6.42	1.44	-0.0174
angle	4.38	1.35	-0.6324	5.27	2.34	-0.8208
angoisse	3.66	1.35	-0.7132	2.88	2.56	-0.4648
anguille	2.20	1.10	-0.6855	5.63	2.72	-0.1441
animation	3.87	1.29	-1.1769	3.77	2.72	-0.8622
anneau	3.83	1.41	-0.3034	6.36	1.23	-0.2125
année	5.60	1.64	3.1988	3.37	5.15	2.6890
annexe	3.93	1.54	0.7216	3.70	2.99	-0.5674
annonce	5.08	1.02	-2.0807	3.52	2.76	-0.7344
