mot;pertinence_c1;difficulté_brute;zipf_books;zipf_films;ratio_littéraire;categories_wiktionnaire
céruléen;1.3;Intermédiaire;2.67;0.0;48.0;"Termes soutenus en français; Termes poétiques en français"
diane;1.3;Intermédiaire;2.61;1.48;10.5;"Termes littéraires en français; Termes poétiques en français"
froidure;1.3;Débutant;3.19;2.04;13.0;"Termes littéraires en français; Termes poétiques en français"
infrangible;1.3;Intermédiaire;2.43;1.0;14.0;"Termes soutenus en français; Termes littéraires en français"
loisible;1.3;Intermédiaire;2.87;0.0;75.0;"Termes soutenus en français; Termes littéraires en français"
pulvérulence;1.3;Intermédiaire;1.85;0.0;8.0;"Termes soutenus en français; Termes littéraires en français"
recru;1.3;Intermédiaire;1.85;0.0;8.0;"Termes soutenus en français; Termes littéraires en français"
commodité;1.18;Débutant;3.28;2.41;7.04;"Termes soutenus en français; Termes archaïques en français"
Hellène;1.0;Intermédiaire;2.6;1.3;13.67;Termes soutenus en français
abscons;1.0;Intermédiaire;2.73;2.08;4.23;Termes soutenus en français
admonition;1.0;Intermédiaire;2.15;1.0;7.5;Termes soutenus en français
alacrité;1.0;Intermédiaire;2.79;1.0;31.0;Termes soutenus en français
assomption;1.0;Intermédiaire;2.61;0.0;42.0;Termes soutenus en français
cacochyme;1.0;Intermédiaire;2.67;0.0;48.0;Termes soutenus en français
corroder;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
dirimant;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
discontinuité;1.0;Intermédiaire;2.83;1.7;11.5;Termes soutenus en français
déparer;1.0;Intermédiaire;2.43;1.0;14.0;Termes soutenus en français
désobligeance;1.0;Intermédiaire;2.15;0.0;15.0;Termes soutenus en français
graffito;1.0;Intermédiaire;2.3;0.0;21.0;Termes soutenus en français
helvétique;1.0;Intermédiaire;2.83;0.0;69.0;Termes soutenus en français
impéritie;1.0;Intermédiaire;2.3;0.0;21.0;Termes soutenus en français
incivil;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
incomestible;1.0;Intermédiaire;2.15;0.0;15.0;Termes soutenus en français
incurie;1.0;Intermédiaire;2.83;2.04;5.75;Termes soutenus en français
interlope;1.0;Intermédiaire;2.53;1.48;8.75;Termes soutenus en français
laudateur;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
maritorne;1.0;Intermédiaire;2.43;0.0;28.0;Termes soutenus en français
modérateur;1.0;Intermédiaire;2.15;1.3;5.0;Termes soutenus en français
obligeant;1.0;Débutant;3.03;2.23;6.06;Termes soutenus en français
pagure;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
rédhibitoire;1.0;Intermédiaire;2.53;1.78;5.0;Termes soutenus en français
rêne;1.0;Intermédiaire;2.15;1.3;5.0;Termes soutenus en français
socque;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
stupre;1.0;Intermédiaire;2.91;2.15;5.47;Termes soutenus en français
superfétatoire;1.0;Intermédiaire;2.43;1.48;7.0;Termes soutenus en français
thuriféraire;1.0;Intermédiaire;2.15;0.0;15.0;Termes soutenus en français
tigrure;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
tressautement;1.0;Intermédiaire;2.43;0.0;28.0;Termes soutenus en français
trépas;1.0;Débutant;3.19;2.58;4.0;Termes soutenus en français
valétudinaire;1.0;Intermédiaire;2.15;1.0;7.5;Termes soutenus en français
vespéral;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
vulpin;1.0;Intermédiaire;1.85;0.0;8.0;Termes soutenus en français
équanimité;1.0;Intermédiaire;2.15;0.0;15.0;Termes soutenus en français
bocage;0.98;Débutant;3.4;2.15;16.73;"Termes littéraires en français; Termes poétiques en français"
Béhémoth;0.9;Intermédiaire;2.67;0.0;48.0;Termes littéraires en français
Capulet;0.9;Intermédiaire;1.85;0.0;8.0;Termes littéraires en français
Géronte;0.9;Intermédiaire;1.85;0.0;8.0;Termes littéraires en français
Tartufe;0.9;Intermédiaire;2.15;1.0;7.5;Termes littéraires en français
aboutissant;0.9;Intermédiaire;2.15;0.0;15.0;Termes littéraires en français
abstrus;0.9;Intermédiaire;2.53;0.0;35.0;Termes littéraires en français
accort;0.9;Intermédiaire;2.3;1.0;10.5;Termes littéraires en français
accouder;0.9;Débutant;3.15;1.0;71.5;Termes littéraires en français
ahurir;0.9;Intermédiaire;2.61;0.0;42.0;Termes littéraires en français
appert;0.9;Intermédiaire;2.15;0.0;15.0;Termes littéraires en français
arachnéen;0.9;Intermédiaire;2.3;1.3;7.0;Termes littéraires en français
assaisonner;0.9;Intermédiaire;2.79;1.95;6.2;Termes littéraires en français
atlante;0.9;Intermédiaire;2.43;1.7;4.67;Termes littéraires en français
bouvier;0.9;Intermédiaire;2.83;2.08;5.31;Termes littéraires en français
béer;0.9;Intermédiaire;2.43;0.0;28.0;Termes littéraires en français
chevaucheur;0.9;Intermédiaire;1.85;0.0;8.0;Termes littéraires en français
contempteur;0.9;Intermédiaire;2.43;1.0;14.0;Termes littéraires en français
coquebin;0.9;Intermédiaire;2.73;0.0;55.0;Termes littéraires en français
difficultueux;0.9;Intermédiaire;1.85;0.0;8.0;Termes littéraires en français
dilection;0.9;Intermédiaire;2.73;0.0;55.0;Termes littéraires en français
diurnal;0.9;Intermédiaire;1.85;0.0;8.0;Termes littéraires en français
dubitation;0.9;Intermédiaire;1.85;0.0;8.0;Termes littéraires en français
déchoir;0.9;Débutant;3.17;1.0;75.0;Termes littéraires en français
déconcerter;0.9;Intermédiaire;2.73;1.78;7.86;Termes littéraires en français
déhiscence;0.9;Intermédiaire;2.15;1.3;5.0;Termes littéraires en français
efflorescence;0.9;Intermédiaire;2.43;1.0;14.0;Termes littéraires en français
empyrée;0.9;Intermédiaire;2.87;0.0;75.0;Termes littéraires en français
