word,freqlivres,freqfilms,ratio,zipf_livres,zipf_films,cgrams,tier
aubain,14.1900,0.0000,1420.0000,4.1520,0.0000,NOM,expert
drifter,37.5000,0.0200,1250.3333,4.5740,1.3010,NOM,expert
sandwich,8.1800,0.0000,819.0000,3.9128,0.0000,NOM,expert
bungalow,12.4300,0.0100,622.0000,4.0945,1.0000,NOM,expert
pradelle,6.0800,0.0000,609.0000,3.7839,0.0000,NOM,expert
squaw,6.0100,0.0000,602.0000,3.7789,0.0000,NOM,expert
layon,5.9500,0.0000,596.0000,3.7745,0.0000,NOM,expert
champenois,5.3400,0.0000,535.0000,3.7275,0.0000,"ADJ, NOM",expert
bignole,5.1400,0.0000,515.0000,3.7110,0.0000,NOM,expert
tweed,5.1400,0.0000,515.0000,3.7110,0.0000,NOM,expert
interview,5.0700,0.0000,508.0000,3.7050,0.0000,NOM,expert
popeline,4.6600,0.0000,467.0000,3.6684,0.0000,NOM,expert
mirette,4.3200,0.0000,433.0000,3.6355,0.0000,NOM,expert
varenne,4.1200,0.0000,413.0000,3.6149,0.0000,NOM,expert
harde,3.8500,0.0000,386.0000,3.5855,0.0000,NOM,expert
péremptoire,3.8500,0.0000,386.0000,3.5855,0.0000,ADJ,expert
rouquemoute,3.8500,0.0000,386.0000,3.5855,0.0000,NOM,expert
franque,3.5800,0.0000,359.0000,3.5539,0.0000,ADJ,expert
gémellaire,7.0900,0.0100,355.0000,3.8506,1.0000,ADJ,expert
cézigue,3.5100,0.0000,352.0000,3.5453,0.0000,NOM,expert
guitoune,3.5100,0.0000,352.0000,3.5453,0.0000,NOM,expert
sourdre,3.4500,0.0000,346.0000,3.5378,0.0000,VER,expert
bistre,3.4400,0.0000,345.0000,3.5366,0.0000,"ADJ, NOM",expert
entassement,3.3100,0.0000,332.0000,3.5198,0.0000,NOM,expert
murette,3.3100,0.0000,332.0000,3.5198,0.0000,NOM,expert
raidillon,3.3100,0.0000,332.0000,3.5198,0.0000,NOM,expert
caïque,3.2400,0.0000,325.0000,3.5105,0.0000,NOM,expert
résiné,3.2400,0.0000,325.0000,3.5105,0.0000,"ADJ, NOM",expert
crépi,3.0400,0.0000,305.0000,3.4829,0.0000,NOM,expert
encoignure,3.0400,0.0000,305.0000,3.4829,0.0000,NOM,expert
vouivre,3.0400,0.0000,305.0000,3.4829,0.0000,NOM,expert
échancrure,3.0400,0.0000,305.0000,3.4829,0.0000,NOM,expert
encadrant,2.9700,0.0000,298.0000,3.4728,0.0000,"ADJ, NOM",expert
sauterelles,2.7700,0.0000,278.0000,3.4425,0.0000,NOM,expert
bourrade,2.7000,0.0000,271.0000,3.4314,0.0000,NOM,expert
zanzi,8.0400,0.0200,268.3333,3.9053,1.3010,NOM,expert
dames,2.6400,0.0000,265.0000,3.4216,0.0000,NOM,expert
virginie,31.2800,0.1100,260.7500,4.4953,2.0414,NOM,intermediaire
sénéchal,5.2000,0.0100,260.5000,3.7160,1.0000,NOM,expert
halètement,2.5700,0.0000,258.0000,3.4099,0.0000,NOM,expert
