mot;theme
allitération;Art & Langage
amphigourique;Art & Langage
aphorisme;Art & Langage
aphoristique;Art & Langage
apophtegme;Art & Langage
assonance;Art & Langage
aède;Art & Langage
calice;Art & Langage
calligramme;Art & Langage
cantilène;Art & Langage
codex;Art & Langage
cénacle;Art & Langage
césure;Art & Langage
diatribe;Art & Langage
dilettante;Art & Langage
enlumineur;Art & Langage
esthète;Art & Langage
estocade;Art & Langage
faconde;Art & Langage
frémissement;Art & Langage
funambule;Art & Langage
garrulité;Art & Langage
gnomique;Art & Langage
grimoire;Art & Langage
harangue;Art & Langage
hémistiche;Art & Langage
héraut;Art & Langage
incantation;Art & Langage
invective;Art & Langage
laconique;Art & Langage
laudateur;Art & Langage
libation;Art & Langage
liminaire;Art & Langage
liturgie;Art & Langage
loquace;Art & Langage
loquacité;Art & Langage
lyrisme;Art & Langage
mignardise;Art & Langage
mignonne;Art & Langage
murmure;Art & Langage
mélopée;Art & Langage
ménestrel;Art & Langage
métrique;Art & Langage
oblation;Art & Langage
ostensoir;Art & Langage
palimpseste;Art & Langage
panégyrique;Art & Langage
pataquès;Art & Langage
patène;Art & Langage
poétique;Art & Langage
prolixe;Art & Langage
prolixité;Art & Langage
psalmodie;Art & Langage
psalmodier;Art & Langage
psautier;Art & Langage
quiproquo;Art & Langage
ratiociner;Art & Langage
rhapsode;Art & Langage
rhapsodie;Art & Langage
satirique;Art & Langage
satyrique;Art & Langage
soliloque;Art & Langage
somnambule;Art & Langage
soporifique;Art & Langage
talisman;Art & Langage
tintamarre;Art & Langage
troubadour;Art & Langage
trépidation;Art & Langage
vate;Art & Langage
vaticination;Art & Langage
verbeux;Art & Langage
volubile;Art & Langage
volubilité;Art & Langage
vélin;Art & Langage
élixir;Art & Langage
élucubration;Art & Langage
élégiaque;Art & Langage
élégie;Art & Langage
épigone;Art & Langage
acrimonie;Esprit & Caractère
anachorète;Esprit & Caractère
atermoiement;Esprit & Caractère
atrabilaire;Esprit & Caractère
auguste;Esprit & Caractère
bilieux;Esprit & Caractère
bonhomie;Esprit & Caractère
brigand;Esprit & Caractère
captieux;Esprit & Caractère
causticité;Esprit & Caractère
caustique;Esprit & Caractère
circonspect;Esprit & Caractère
clémence;Esprit & Caractère
collusion;Esprit & Caractère
condottiere;Esprit & Caractère
connivence;Esprit & Caractère
cénobite;Esprit & Caractère
effronterie;Esprit & Caractère
estafette;Esprit & Caractère
facétieux;Esprit & Caractère
fallacieux;Esprit & Caractère
famélique;Esprit & Caractère
fielleux;Esprit & Caractère
flegmatique;Esprit & Caractère
flibustier;Esprit & Caractère
flâneur;Esprit & Caractère
fripon;Esprit & Caractère
goguenard;Esprit & Caractère
graveleux;Esprit & Caractère
gredin;Esprit & Caractère
grivois;Esprit & Caractère
grivoiserie;Esprit & Caractère
grognard;Esprit & Caractère
ignominie;Esprit & Caractère
ilote;Esprit & Caractère
imbroglio;Esprit & Caractère
impertinence;Esprit & Caractère
impudence;Esprit & Caractère
impérieux;Esprit & Caractère
impéritie;Esprit & Caractère
incurie;Esprit & Caractère
indocile;Esprit & Caractère
insidieux;Esprit & Caractère
insolence;Esprit & Caractère
insoumis;Esprit & Caractère
intransigeance;Esprit & Caractère
intrépide;Esprit & Caractère
intègre;Esprit & Caractère
irrévérence;Esprit & Caractère
larron;Esprit & Caractère
libidineux;Esprit & Caractère
licencieux;Esprit & Caractère
longanimité;Esprit & Caractère
magnanime;Esprit & Caractère
malandrin;Esprit & Caractère
mansuétude;Esprit & Caractère
maraudeur;Esprit & Caractère
marmiton;Esprit & Caractère
