mot;score;freq_score;ratio_score;cat_score;zipf_books;zipf_films;ratio;categories_wikt;in_reference;has_lexique_data
abscons;1.0;1.0;0.9;1.0;2.732;2.079;4.5;soutenu;oui;oui
admonition;1.0;1.0;1.0;1.0;2.146;1.0;14.0;soutenu;non;oui
alacrité;1.0;1.0;1.0;1.0;2.785;1.0;50.0;soutenu;oui;oui
anathème;1.0;1.0;0.35;1.0;2.944;3.033;0.815;soutenu;oui;oui
arachnéen;1.0;1.0;1.0;0.9;2.431;0.0;10.0;littéraire;oui;oui
assomption;1.0;1.0;1.0;1.0;2.613;0.0;10.0;soutenu;non;oui
aurore;1.0;0.7;0.9;1.0;3.973;3.479;3.12;soutenu;oui;oui
bocage;1.0;1.0;1.0;1.0;3.398;2.146;17.857;littéraire+poétique;oui;oui
cacochyme;1.0;1.0;1.0;1.0;2.672;0.0;10.0;soutenu;non;oui
cantilène;1.0;1.0;0.9;0.9;2.531;2.041;3.091;littéraire;oui;oui
commisération;1.0;1.0;1.0;1.0;3.398;2.146;17.857;soutenu;oui;oui
commodité;1.0;1.0;1.0;1.0;3.276;2.415;7.269;soutenu+archaïque;non;oui
congru;1.0;1.0;1.0;1.0;2.531;0.0;10.0;soutenu;non;oui
corroder;1.0;1.0;1.0;1.0;2.613;0.0;10.0;soutenu;non;oui
coruscant;1.0;1.0;1.0;0.9;2.146;0.0;10.0;littéraire;oui;oui
céruléen;1.0;1.0;1.0;1.0;2.672;0.0;10.0;soutenu+poétique;oui;oui
diane;1.0;1.0;1.0;1.0;2.613;1.477;13.667;littéraire+poétique;non;oui
diaphane;1.0;1.0;1.0;1.0;3.307;1.477;50.0;soutenu;oui;oui
dilection;1.0;1.0;1.0;0.9;2.732;0.0;10.0;littéraire;oui;oui
diligemment;1.0;1.0;1.0;1.0;2.431;1.699;5.4;soutenu;non;oui
dirimant;1.0;0.85;1.0;1.0;1.845;0.0;10.0;soutenu;oui;oui
discontinuité;1.0;1.0;1.0;1.0;2.833;1.699;13.6;soutenu;non;oui
désobligeance;1.0;1.0;1.0;1.0;2.146;0.0;10.0;soutenu;non;oui
désobligeant;1.0;1.0;1.0;1.0;3.004;1.954;11.222;soutenu;non;oui
empyrée;1.0;1.0;1.0;0.9;2.869;0.0;10.0;littéraire;oui;oui
estocade;1.0;1.0;1.0;0.9;2.613;1.477;13.667;littéraire;oui;oui
froidure;1.0;1.0;1.0;1.0;3.19;2.041;14.091;littéraire+poétique;non;oui
fuligineux;1.0;1.0;1.0;0.9;3.033;1.0;50.0;littéraire;oui;oui
graffito;1.0;1.0;1.0;1.0;2.301;0.0;10.0;soutenu;non;oui
helvétique;1.0;1.0;1.0;1.0;2.833;0.0;10.0;soutenu;non;oui
hic et nunc;1.0;1.0;1.0;1.0;2.613;0.0;10.0;soutenu;non;oui
ilote;1.0;1.0;1.0;0.9;2.531;0.0;10.0;littéraire;oui;oui
impéritie;1.0;1.0;1.0;1.0;2.301;0.0;10.0;soutenu;oui;oui
incivil;1.0;1.0;1.0;1.0;2.146;0.0;10.0;soutenu;non;oui
incomestible;1.0;1.0;1.0;1.0;2.146;0.0;10.0;soutenu;non;oui
incurie;1.0;1.0;1.0;1.0;2.833;2.041;6.182;soutenu;oui;oui
infrangible;1.0;1.0;1.0;1.0;2.431;1.0;27.0;soutenu+littéraire;oui;oui
interlope;1.0;1.0;1.0;1.0;2.531;0.0;10.0;soutenu;non;oui
larron;1.0;1.0;0.75;0.9;2.978;2.531;2.794;littéraire;oui;oui
laudateur;1.0;0.85;1.0;1.0;1.845;0.0;10.0;soutenu;oui;oui
loisible;1.0;1.0;1.0;1.0;2.869;0.0;10.0;soutenu+littéraire;non;oui
longanimité;1.0;1.0;1.0;0.9;2.146;0.0;10.0;littéraire;oui;oui
maritorne;1.0;1.0;1.0;1.0;2.431;0.0;10.0;soutenu;non;oui
mignardise;1.0;1.0;1.0;0.9;2.869;1.0;50.0;littéraire;oui;oui
ménestrel;1.0;1.0;0.35;1.0;2.146;2.146;1.0;soutenu;oui;oui
nimbe;1.0;1.0;1.0;0.9;2.908;1.0;50.0;littéraire;oui;oui
nonobstant;1.0;1.0;1.0;1.0;3.473;2.204;18.562;soutenu;non;oui
obligeant;1.0;1.0;1.0;1.0;3.033;2.23;6.353;soutenu;non;oui
paladin;1.0;1.0;0.9;0.9;2.732;2.204;3.375;littéraire;oui;oui
parangon;1.0;1.0;1.0;0.9;3.033;2.079;9.0;littéraire;oui;oui
potentat;1.0;1.0;0.9;1.0;2.531;2.0;3.4;soutenu;oui;oui
pugnace;1.0;1.0;0.75;0.9;2.146;1.778;2.333;littéraire;oui;oui
pusillanime;1.0;1.0;1.0;0.9;2.908;1.477;27.0;littéraire;oui;oui
périlleusement;1.0;1.0;1.0;1.0;2.301;0.0;10.0;soutenu;non;oui
rédhibitoire;1.0;1.0;1.0;1.0;2.531;1.778;5.667;soutenu;non;oui
sicaire;1.0;0.85;1.0;0.9;1.845;0.0;10.0;littéraire;oui;oui
sidéral;1.0;1.0;1.0;0.9;2.613;1.602;10.25;littéraire;oui;oui
simagrée;1.0;1.0;0.9;1.0;3.473;2.954;3.3;soutenu;oui;oui
socque;1.0;1.0;1.0;1.0;2.613;0.0;10.0;soutenu;non;oui
sourcilleux;1.0;1.0;1.0;0.9;3.061;1.0;50.0;littéraire;oui;oui
stupre;1.0;1.0;1.0;1.0;2.908;2.146;5.786;soutenu;non;oui
superfétatoire;1.0;1.0;1.0;1.0;2.431;1.477;9.0;soutenu;non;oui
sylvie;1.0;1.0;1.0;1.0;3.32;0.0;10.0;soutenu;non;oui
thuriféraire;1.0;1.0;1.0;1.0;2.301;0.0;10.0;soutenu;oui;oui
tressautement;1.0;1.0;1.0;1.0;2.672;0.0;10.0;soutenu;non;oui
trépas;1.0;1.0;0.9;1.0;3.19;2.58;4.079;soutenu;oui;oui
valétudinaire;1.0;1.0;1.0;1.0;2.146;1.0;14.0;soutenu;oui;oui
vaticination;1.0;1.0;1.0;0.9;2.613;0.0;10.0;littéraire;oui;oui
vespéral;1.0;1.0;1.0;1.0;2.785;0.0;10.0;soutenu;oui;oui
égrotant;1.0;1.0;1.0;0.9;2.301;0.0;10.0;littéraire;oui;oui
émacié;1.0;1.0;1.0;1.0;3.307;1.477;50.0;soutenu;non;oui
équanimité;1.0;1.0;1.0;1.0;2.146;0.0;10.0;soutenu;oui;oui
éthéré;1.0;1.0;1.0;0.8;2.613;0.0;10.0;poétique;oui;oui
malandrin;0.9947;1.0;0.55;0.9;2.672;2.447;1.679;littéraire;oui;oui
nébuleux;0.9947;1.0;0.55;0.9;2.833;2.58;1.789;littéraire;oui;oui
captif;0.98;1.0;0.9;1.0;3.334;2.799;3.429;soutenu;non;oui
courtisan;0.98;1.0;0.9;1.0;3.32;2.82;3.167;soutenu;non;oui
déparer;0.98;1.0;0.9;1.0;2.672;2.041;4.273;soutenu;non;oui
extatique;0.98;1.0;0.9;1.0;3.004;2.342;4.591;soutenu;non;oui
fouler;0.98;1.0;0.9;1.0;3.41;2.813;3.954;soutenu+littéraire;non;oui
