mot;theme;score_v3;classe;zipf_books;ratio;categories_wikt;has_lexique;has_wikt
abattement;Sentiments & Psyché;1.0;Excellent;3.373;13.882;;oui;non
aboulie;Sentiments & Psyché;1.0;Excellent;2.146;10.0;;oui;non
abscons;Philosophie & Idées;1.0;Excellent;2.732;4.5;soutenu;oui;oui
accablement;Sentiments & Psyché;1.0;Excellent;3.554;17.048;;oui;non
acrimonie;Esprit & Caractère;1.0;Excellent;2.908;13.5;;oui;non
affliction;Sentiments & Psyché;1.0;Excellent;3.398;2.294;;oui;non
alacrité;Sentiments & Psyché;1.0;Excellent;2.785;50.0;soutenu;oui;oui
alcyon;Nature & Cosmos;1.0;Excellent;2.785;4.692;;oui;non
ambiguïté;Philosophie & Idées;1.0;Excellent;3.453;7.282;;oui;non
amphigourique;Art & Langage;1.0;Excellent;2.146;10.0;;oui;non
améthyste;Nature & Cosmos;1.0;Excellent;2.732;27.0;;oui;non
anachorète;Esprit & Caractère;1.0;Excellent;2.613;4.1;;oui;non
anathème;Philosophie & Idées;1.0;Excellent;2.944;0.815;soutenu;oui;oui
ancestral;Temps & Éphémère;1.0;Excellent;3.307;2.093;;oui;non
antédiluvien;Temps & Éphémère;1.0;Excellent;2.613;41.0;;oui;non
apathie;Sentiments & Psyché;1.0;Excellent;3.173;1.637;;oui;non
aphorisme;Art & Langage;1.0;Excellent;2.869;37.0;;oui;non
apogée;Temps & Éphémère;1.0;Excellent;3.246;1.257;;oui;non
apophtegme;Art & Langage;1.0;Excellent;2.301;10.0;;oui;non
apostasie;Philosophie & Idées;1.0;Excellent;2.613;41.0;;oui;non
arachnéen;Nature & Cosmos;1.0;Excellent;2.431;10.0;littéraire;oui;oui
assonance;Art & Langage;1.0;Excellent;2.301;20.0;;oui;non
ataraxie;Sentiments & Psyché;1.0;Excellent;1.845;3.5;;oui;non
atermoiement;Esprit & Caractère;1.0;Excellent;2.978;3.393;;oui;non
atone;Sentiments & Psyché;1.0;Excellent;2.869;37.0;;oui;non
atrabilaire;Esprit & Caractère;1.0;Excellent;2.146;10.0;;oui;non
auguste;Esprit & Caractère;1.0;Excellent;3.276;1.89;;oui;non
aurore;Lumière & Ombres;1.0;Excellent;3.973;3.12;soutenu;oui;oui
bilieux;Esprit & Caractère;1.0;Excellent;2.613;10.0;;oui;non
