mot;score_final;score_semantique;score_frequence;zipf_books;ratio;categories_wikt;theme_similar;in_reference;classe
acrimonieux;0.8479;0.6958;1.0;1.845;7.0;soutenu;Esprit & Caractère;non;Excellent
désobligeance;0.8207;0.6413;1.0;2.146;10.0;soutenu;Esprit & Caractère;non;Excellent
courtisan;0.8196;0.6393;1.0;3.32;3.167;soutenu;Esprit & Caractère;non;Excellent
extatique;0.8147;0.6295;1.0;3.004;4.591;soutenu;Philosophie & Idées;non;Excellent
assomption;0.8128;0.6255;1.0;2.613;10.0;soutenu;Sentiments & Psyché;non;Excellent
glèbe;0.8124;0.6849;1.0;2.944;1.725;littéraire;Art & Langage;non;Excellent
entéléchie;0.8123;0.6846;1.0;1.845;10.0;littéraire;Philosophie & Idées;non;Excellent
adulateur;0.8112;0.6225;1.0;1.845;10.0;soutenu+poétique;Esprit & Caractère;non;Excellent
admonition;0.811;0.6219;1.0;2.146;14.0;soutenu;Sentiments & Psyché;non;Excellent
froidure;0.8106;0.6212;1.0;3.19;14.091;littéraire+poétique;Sentiments & Psyché;non;Excellent
commodité;0.8092;0.6184;1.0;3.276;7.269;soutenu+archaïque;Temps & Éphémère;non;Excellent
feintise;0.8088;0.6775;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
déparer;0.8085;0.617;1.0;2.672;4.273;soutenu;Sentiments & Psyché;non;Excellent
captif;0.8065;0.6131;1.0;3.334;3.429;soutenu;Esprit & Caractère;non;Excellent
cacochyme;0.8053;0.6107;1.0;2.672;10.0;soutenu;Nature & Cosmos;non;Excellent
désobligeant;0.7993;0.5985;1.0;3.004;11.222;soutenu;Esprit & Caractère;non;Excellent
douteur;0.7991;0.6582;1.0;2.146;10.0;littéraire;Esprit & Caractère;non;Excellent
exultation;0.7921;0.6441;1.0;2.833;13.6;littéraire;Sentiments & Psyché;non;Excellent
enrhumé;0.7895;0.6389;1.0;2.908;3.857;littéraire;Sentiments & Psyché;non;Excellent
foucade;0.7893;0.6386;1.0;2.531;10.0;littéraire;Lumière & Ombres;non;Excellent
déconcerter;0.7889;0.6379;1.0;3.152;7.474;littéraire;Sentiments & Psyché;non;Excellent
contempteur;0.7879;0.6358;1.0;2.431;27.0;littéraire;Esprit & Caractère;non;Excellent
fantasquement;0.7877;0.6354;1.0;1.845;10.0;littéraire;Sentiments & Psyché;non;Excellent
cascadeur;0.7853;0.6307;1.0;2.146;0.074;littéraire;Art & Langage;non;Excellent
bellement;0.7848;0.6295;1.0;2.732;3.857;littéraire;Esprit & Caractère;non;Excellent
faunesque;0.7841;0.6281;1.0;1.845;10.0;littéraire;Lumière & Ombres;non;Excellent
dubitation;0.784;0.628;1.0;1.845;10.0;littéraire;Sentiments & Psyché;non;Excellent
artificieux;0.7833;0.6267;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
accort;0.7832;0.6264;1.0;2.431;13.5;littéraire;Esprit & Caractère;non;Excellent
crépusculaire;0.7825;0.6249;1.0;3.276;50.0;littéraire;Lumière & Ombres;non;Excellent
aimeur;0.7803;0.6206;1.0;1.845;10.0;littéraire;Art & Langage;non;Excellent
chevaucheur;0.78;0.62;1.0;1.845;10.0;littéraire;Art & Langage;non;Excellent
astreinte;0.7799;0.6197;1.0;1.845;3.5;littéraire;Esprit & Caractère;non;Excellent
chaumine;0.7798;0.6195;1.0;2.613;3.727;littéraire;Art & Langage;non;Excellent
coutumier;0.7788;0.6176;1.0;3.41;12.85;littéraire;Esprit & Caractère;non;Excellent
difficultueux;0.7777;0.6154;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
bouvier;0.7774;0.6149;1.0;2.833;5.667;littéraire;Esprit & Caractère;non;Excellent
barde;0.777;0.6139;1.0;2.613;2.278;littéraire;Art & Langage;non;Excellent
coquebin;0.7764;0.6129;1.0;2.531;10.0;littéraire;Nature & Cosmos;non;Excellent
cétacé;0.776;0.6121;1.0;2.146;4.667;littéraire;Nature & Cosmos;non;Excellent
arène;0.7751;0.6552;0.85;3.615;1.831;littéraire+poétique;Nature & Cosmos;non;Excellent
boiteux;0.7751;0.6502;1.0;3.348;1.104;poétique;Esprit & Caractère;non;Excellent
balsamique;0.7746;0.6091;1.0;2.613;4.1;littéraire;Art & Langage;non;Excellent
esseuler;0.774;0.608;1.0;2.146;0.824;littéraire;Nature & Cosmos;non;Excellent
fourrier;0.772;0.6041;1.0;3.228;50.0;littéraire;Esprit & Caractère;non;Excellent
bergerie;0.7714;0.6028;1.0;3.453;2.869;littéraire;Art & Langage;non;Excellent
fleuronner;0.7678;0.5956;1.0;1.845;10.0;littéraire;Art & Langage;non;Excellent
atlante;0.7673;0.5946;1.0;2.431;5.4;littéraire;Nature & Cosmos;non;Excellent
artifice;0.7666;0.6383;0.85;3.93;1.582;soutenu;Art & Langage;non;Excellent
