mot;score_final;score_semantique;score_frequence;zipf_books;ratio;categories_wikt;theme_similar;in_reference;classe
acrimonieux;0.8479;0.6958;1.0;1.845;7.0;soutenu;Esprit & Caractère;non;Excellent
laudatif;0.8415;0.683;1.0;1.845;10.0;soutenu;Art & Langage;non;Excellent
inclément;0.8377;0.6754;1.0;1.845;10.0;soutenu;Esprit & Caractère;non;Excellent
vomissure;0.823;0.646;1.0;2.908;2.455;soutenu;Sentiments & Psyché;non;Excellent
désobligeance;0.8207;0.6413;1.0;2.146;10.0;soutenu;Esprit & Caractère;non;Excellent
courtisan;0.8196;0.6393;1.0;3.32;3.167;soutenu;Esprit & Caractère;non;Excellent
éminent;0.8194;0.6389;1.0;3.307;1.223;soutenu;Esprit & Caractère;non;Excellent
vergogneux;0.8165;0.693;1.0;2.431;10.0;littéraire;Esprit & Caractère;non;Excellent
sceptre;0.8158;0.6316;1.0;3.152;0.882;soutenu;Art & Langage;non;Excellent
incurieux;0.8153;0.6907;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
extatique;0.8147;0.6295;1.0;3.004;4.591;soutenu;Philosophie & Idées;non;Excellent
assomption;0.8128;0.6255;1.0;2.613;10.0;soutenu;Sentiments & Psyché;non;Excellent
glèbe;0.8124;0.6849;1.0;2.944;1.725;littéraire;Art & Langage;non;Excellent
entéléchie;0.8123;0.6846;1.0;1.845;10.0;littéraire;Philosophie & Idées;non;Excellent
infortuné;0.8119;0.6237;1.0;3.246;2.411;soutenu;Sentiments & Psyché;non;Excellent
seoir;0.8118;0.6237;1.0;3.453;1.701;littéraire+soutenu;Nature & Cosmos;non;Excellent
émacié;0.8115;0.623;1.0;3.307;50.0;soutenu;Nature & Cosmos;non;Excellent
adulateur;0.8112;0.6225;1.0;1.845;10.0;poétique+soutenu;Esprit & Caractère;non;Excellent
admonition;0.811;0.6219;1.0;2.146;14.0;soutenu;Sentiments & Psyché;non;Excellent
froidure;0.8106;0.6212;1.0;3.19;14.091;littéraire+poétique;Sentiments & Psyché;non;Excellent
commodité;0.8092;0.6184;1.0;3.276;7.269;archaïque+soutenu;Temps & Éphémère;non;Excellent
feintise;0.8088;0.6775;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
déparer;0.8085;0.617;1.0;2.672;4.273;soutenu;Sentiments & Psyché;non;Excellent
sidérer;0.8067;0.6135;1.0;3.061;2.738;soutenu;Nature & Cosmos;non;Excellent
captif;0.8065;0.6131;1.0;3.334;3.429;soutenu;Esprit & Caractère;non;Excellent
loisible;0.8061;0.6123;1.0;2.869;10.0;littéraire+soutenu;Esprit & Caractère;non;Excellent
cacochyme;0.8053;0.6107;1.0;2.672;10.0;soutenu;Nature & Cosmos;non;Excellent
tressautement;0.8052;0.6103;1.0;2.672;10.0;soutenu;Sentiments & Psyché;non;Excellent
paître;0.8051;0.6102;1.0;3.246;1.814;poétique+soutenu;Esprit & Caractère;non;Excellent
insomnieux;0.801;0.662;1.0;2.301;10.0;littéraire;Esprit & Caractère;non;Excellent
désobligeant;0.7993;0.5985;1.0;3.004;11.222;soutenu;Esprit & Caractère;non;Excellent
douteur;0.7991;0.6582;1.0;2.146;10.0;littéraire;Esprit & Caractère;non;Excellent
vitupérer;0.7988;0.6576;1.0;2.613;10.0;littéraire;Esprit & Caractère;non;Excellent
