mot;score_v2;classe;zipf_books;ratio;categories_wikt
aboutissant;1.0;Excellent;2.908;9.0;littéraire
absinthe;1.0;Excellent;3.464;2.273;poétique
abstrus;1.0;Excellent;2.531;10.0;littéraire
accort;1.0;Excellent;2.431;13.5;littéraire
accouder;1.0;Excellent;3.699;20.0;littéraire
accroupir;1.0;Excellent;3.916;11.444;littéraire
acrimonieux;1.0;Excellent;1.845;7.0;soutenu
admonition;1.0;Excellent;2.146;14.0;soutenu
adonc;1.0;Excellent;1.845;10.0;archaïque
adoncques;1.0;Excellent;1.845;10.0;archaïque
adulateur;1.0;Excellent;1.845;10.0;soutenu+poétique
advenir;1.0;Excellent;3.21;1.636;littéraire+poétique
agathe;1.0;Excellent;2.146;10.0;archaïque
ahurir;1.0;Excellent;3.13;4.655;littéraire
aimeur;1.0;Excellent;1.845;10.0;littéraire
airain;1.0;Excellent;3.228;9.941;littéraire
albâtre;1.0;Excellent;3.473;5.211;poétique
amante;1.0;Excellent;3.744;5.327;littéraire
anatidé;1.0;Excellent;1.845;10.0;soutenu
annales;1.0;Excellent;3.246;2.256;soutenu
anter;1.0;Excellent;1.845;10.0;archaïque
aposter;1.0;Excellent;1.845;10.0;littéraire
apparat;1.0;Excellent;3.681;9.412;littéraire
appert;1.0;Excellent;2.146;10.0;littéraire
aquilon;1.0;Excellent;2.672;10.0;poétique
archipel;1.0;Excellent;3.473;6.188;archaïque
arder;1.0;Excellent;2.146;10.0;archaïque
ardre;1.0;Excellent;1.845;10.0;archaïque
arpion;1.0;Excellent;3.004;33.667;archaïque
arrière-neveux;1.0;Excellent;1.845;10.0;soutenu
artificieux;1.0;Excellent;1.845;10.0;littéraire
aspre;1.0;Excellent;1.845;10.0;archaïque
assomption;1.0;Excellent;2.613;10.0;soutenu
astreinte;1.0;Excellent;1.845;3.5;littéraire
atlante;1.0;Excellent;2.431;5.4;littéraire
autan;1.0;Excellent;1.845;10.0;poétique
azurer;1.0;Excellent;1.845;10.0;poétique
balsamique;1.0;Excellent;2.613;4.1;littéraire
barde;1.0;Excellent;2.613;2.278;littéraire
bayer;1.0;Excellent;2.301;20.0;archaïque
bellement;1.0;Excellent;2.732;3.857;littéraire
bergerie;1.0;Excellent;3.453;2.869;littéraire
bobine;1.0;Excellent;3.473;1.531;littéraire
bocager;1.0;Excellent;1.845;10.0;littéraire+poétique
bout-rimé;1.0;Excellent;1.845;10.0;poétique
brand;1.0;Excellent;2.146;10.0;archaïque
brisure;1.0;Excellent;2.869;10.0;poétique
brochet;1.0;Excellent;3.502;7.227;littéraire
cacochyme;1.0;Excellent;2.672;10.0;soutenu
captif;1.0;Excellent;3.334;3.429;soutenu
