mot;score_v3;classe;zipf_books;ratio;categories_wikt
aboutissant;1.0;Excellent;2.908;9.0;littéraire
absinthe;1.0;Excellent;3.464;2.273;poétique
abstrus;1.0;Excellent;2.531;10.0;littéraire
accidenter;1.0;Excellent;2.146;1.167;littéraire
accort;1.0;Excellent;2.431;13.5;littéraire
acrimonieux;1.0;Excellent;1.845;7.0;soutenu
admonition;1.0;Excellent;2.146;14.0;soutenu
adonc;1.0;Excellent;1.845;10.0;archaïque
adoncques;1.0;Excellent;1.845;10.0;archaïque
adulateur;1.0;Excellent;1.845;10.0;poétique+soutenu
ailé;1.0;Excellent;3.152;2.0;poétique
aimeur;1.0;Excellent;1.845;10.0;littéraire
airain;1.0;Excellent;3.228;9.941;littéraire
albâtre;1.0;Excellent;3.473;5.211;poétique
alentour;1.0;Excellent;3.96;1.912;littéraire
aliénation;1.0;Excellent;3.173;1.252;littéraire
altitude;1.0;Excellent;3.803;0.997;littéraire
amante;1.0;Excellent;3.744;5.327;littéraire
amphitryon;1.0;Excellent;1.845;0.538;soutenu
anatidé;1.0;Excellent;1.845;10.0;soutenu
annales;1.0;Excellent;3.246;2.256;soutenu
anter;1.0;Excellent;1.845;10.0;archaïque
aposter;1.0;Excellent;1.845;10.0;littéraire
apparat;1.0;Excellent;3.681;9.412;littéraire
appariteur;1.0;Excellent;2.531;1.214;archaïque
appert;1.0;Excellent;2.146;10.0;littéraire
aquilon;1.0;Excellent;2.672;10.0;poétique
archipel;1.0;Excellent;3.473;6.188;archaïque
arder;1.0;Excellent;2.146;10.0;archaïque
ardre;1.0;Excellent;1.845;10.0;archaïque
arpion;1.0;Excellent;3.004;33.667;archaïque
arrière-neveux;1.0;Excellent;1.845;10.0;soutenu
artifice;1.0;Excellent;3.93;1.582;soutenu
artificieux;1.0;Excellent;1.845;10.0;littéraire
arène;1.0;Excellent;3.615;1.831;littéraire+poétique
aspre;1.0;Excellent;1.845;10.0;archaïque
assomption;1.0;Excellent;2.613;10.0;soutenu
astreinte;1.0;Excellent;1.845;3.5;littéraire
atlante;1.0;Excellent;2.431;5.4;littéraire
augmentation;1.0;Excellent;3.511;0.49;littéraire
autan;1.0;Excellent;1.845;10.0;poétique
avide;1.0;Excellent;4.015;5.33;soutenu
azurer;1.0;Excellent;1.845;10.0;poétique
balsamique;1.0;Excellent;2.613;4.1;littéraire
barde;1.0;Excellent;2.613;2.278;littéraire
bayer;1.0;Excellent;2.301;20.0;archaïque
bellement;1.0;Excellent;2.732;3.857;littéraire
bergerie;1.0;Excellent;3.453;2.869;littéraire
bise;1.0;Excellent;3.909;3.015;poétique
blâme;1.0;Excellent;3.607;2.189;littéraire
