rang;mot;score_editorial;score_semantique;score_v3;zipf_books;ratio;categories_wikt;theme_similaire
1;acrimonieux;0.8479;0.6958;1.0;1.845;7.0;soutenu;Esprit & Caractère
2;glèbe;0.8425;0.6849;1.0;2.944;1.725;littéraire;Art & Langage
3;entéléchie;0.8423;0.6846;1.0;1.845;10.0;littéraire;Philosophie & Idées
4;blâme;0.841;0.6821;1.0;3.607;2.189;littéraire;Art & Langage
5;feintise;0.8387;0.6775;1.0;1.845;10.0;littéraire;Esprit & Caractère
6;arène;0.8276;0.6552;1.0;3.615;1.831;littéraire+poétique;Nature & Cosmos
7;exultation;0.8221;0.6441;1.0;2.833;13.6;littéraire;Sentiments & Psyché
8;désobligeance;0.8206;0.6413;1.0;2.146;10.0;soutenu;Esprit & Caractère
9;décombre;0.8206;0.6411;1.0;3.816;6.009;littéraire;Sentiments & Psyché
10;courtisan;0.8196;0.6393;1.0;3.32;3.167;soutenu;Esprit & Caractère
11;foucade;0.8193;0.6386;1.0;2.531;10.0;littéraire;Lumière & Ombres
12;extatique;0.8147;0.6295;1.0;3.004;4.591;soutenu;Philosophie & Idées
13;accort;0.8132;0.6264;1.0;2.431;13.5;littéraire;Esprit & Caractère
14;crépusculaire;0.8125;0.6249;1.0;3.276;50.0;littéraire;Lumière & Ombres
15;adulateur;0.8113;0.6225;1.0;1.845;10.0;soutenu+poétique;Esprit & Caractère
16;admonition;0.8109;0.6219;1.0;2.146;14.0;soutenu;Sentiments & Psyché
17;froidure;0.8106;0.6212;1.0;3.19;14.091;littéraire+poétique;Sentiments & Psyché
18;cavale;0.8095;0.619;1.0;3.629;1.101;littéraire+poétique;Nature & Cosmos
19;déparer;0.8085;0.617;1.0;2.672;4.273;soutenu;Sentiments & Psyché
20;bouvier;0.8075;0.6149;1.0;2.833;5.667;littéraire;Esprit & Caractère
21;barde;0.8069;0.6139;1.0;2.613;2.278;littéraire;Art & Langage
22;captif;0.8065;0.6131;1.0;3.334;3.429;soutenu;Esprit & Caractère
23;coquebin;0.8065;0.6129;1.0;2.531;10.0;littéraire;Nature & Cosmos
24;gerbe;0.8054;0.6109;1.0;3.886;20.263;littéraire;Nature & Cosmos
25;cacochyme;0.8054;0.6107;1.0;2.672;10.0;soutenu;Nature & Cosmos
26;colombe;0.805;0.6101;1.0;3.545;0.691;littéraire+poétique;Nature & Cosmos
27;balsamique;0.8045;0.6091;1.0;2.613;4.1;littéraire;Art & Langage
28;bergerie;0.8014;0.6028;1.0;3.453;2.869;littéraire;Art & Langage
29;dépouille;0.8002;0.6004;1.0;3.699;2.959;littéraire;Nature & Cosmos
30;désobligeant;0.7993;0.5985;1.0;3.004;11.222;soutenu;Esprit & Caractère
31;clameur;0.7984;0.5968;1.0;3.749;7.685;littéraire;Art & Langage
32;brise;0.7982;0.5963;1.0;4.037;1.943;littéraire+poétique;Nature & Cosmos
33;chaume;0.7724;0.6449;1.0;3.687;13.5;poétique;Nature & Cosmos
34;furie;0.7618;0.6236;1.0;3.744;2.702;poétique;Sentiments & Psyché
35;faucille;0.7598;0.6195;1.0;3.348;4.373;poétique;Nature & Cosmos
36;foudroyant;0.7538;0.6075;1.0;3.511;32.4;poétique;Lumière & Ombres
37;aquilon;0.7518;0.6035;1.0;2.672;10.0;poétique;Nature & Cosmos
38;brisure;0.7508;0.6016;1.0;2.869;10.0;poétique;Sentiments & Psyché
39;hymen;0.7487;0.5974;1.0;2.531;0.166;poétique;Nature & Cosmos
40;albâtre;0.7478;0.5955;1.0;3.473;5.211;poétique;Nature & Cosmos
41;commère;0.7291;0.6582;1.0;3.386;7.147;archaïque;Art & Langage
