mot;score_v3;score_semantique;zipf_books;ratio;categories_wikt;theme_similaire;methode
acrimonieux;1.0;0.6958;1.845;7.0;soutenu;Esprit & Caractère;V3+Embedding
frileux;1.0;0.69;3.562;4.932;littéraire;Esprit & Caractère;V3+Embedding
glèbe;1.0;0.6849;2.944;1.725;littéraire;Art & Langage;V3+Embedding
entéléchie;1.0;0.6846;1.845;10.0;littéraire;Philosophie & Idées;V3+Embedding
blâme;1.0;0.6821;3.607;2.189;littéraire;Art & Langage;V3+Embedding
feintise;1.0;0.6775;1.845;10.0;littéraire;Esprit & Caractère;V3+Embedding
commère;1.0;0.6582;3.386;7.147;archaïque;Art & Langage;V3+Embedding
douteur;1.0;0.6582;2.146;10.0;littéraire;Esprit & Caractère;V3+Embedding
arène;1.0;0.6552;3.615;1.831;littéraire+poétique;Nature & Cosmos;V3+Embedding
boiteux;1.0;0.6502;3.348;1.104;poétique;Esprit & Caractère;V3+Embedding
gémissement;1.0;0.6472;3.969;9.608;poétique;Sentiments & Psyché;V3+Embedding
chaume;1.0;0.6449;3.687;13.5;poétique;Nature & Cosmos;V3+Embedding
exultation;1.0;0.6441;2.833;13.6;littéraire;Sentiments & Psyché;V3+Embedding
désobligeance;1.0;0.6413;2.146;10.0;soutenu;Esprit & Caractère;V3+Embedding
décombre;1.0;0.6411;3.816;6.009;littéraire;Sentiments & Psyché;V3+Embedding
courtisan;1.0;0.6393;3.32;3.167;soutenu;Esprit & Caractère;V3+Embedding
enrhumé;1.0;0.6389;2.908;3.857;littéraire;Sentiments & Psyché;V3+Embedding
foucade;1.0;0.6386;2.531;10.0;littéraire;Lumière & Ombres;V3+Embedding
déconcerter;1.0;0.6379;3.152;7.474;littéraire;Sentiments & Psyché;V3+Embedding
contempteur;1.0;0.6358;2.431;27.0;littéraire;Esprit & Caractère;V3+Embedding
fantasquement;1.0;0.6354;1.845;10.0;littéraire;Sentiments & Psyché;V3+Embedding
cygne;1.0;0.6338;3.668;0.883;poétique;Nature & Cosmos;V3+Embedding
cascadeur;1.0;0.6307;2.146;0.074;littéraire;Art & Langage;V3+Embedding
bellement;1.0;0.6295;2.732;3.857;littéraire;Esprit & Caractère;V3+Embedding
extatique;1.0;0.6295;3.004;4.591;soutenu;Philosophie & Idées;V3+Embedding
faunesque;1.0;0.6281;1.845;10.0;littéraire;Lumière & Ombres;V3+Embedding
humilié;1.0;0.6281;3.334;1.982;archaïque;Sentiments & Psyché;V3+Embedding
dubitation;1.0;0.628;1.845;10.0;littéraire;Sentiments & Psyché;V3+Embedding
artificieux;1.0;0.6267;1.845;10.0;littéraire;Esprit & Caractère;V3+Embedding
accort;1.0;0.6264;2.431;13.5;littéraire;Esprit & Caractère;V3+Embedding
assomption;1.0;0.6255;2.613;10.0;soutenu;Sentiments & Psyché;V3+Embedding
crépusculaire;1.0;0.6249;3.276;50.0;littéraire;Lumière & Ombres;V3+Embedding
furie;1.0;0.6236;3.744;2.702;poétique;Sentiments & Psyché;V3+Embedding
adulateur;1.0;0.6225;1.845;10.0;soutenu+poétique;Esprit & Caractère;V3+Embedding
courtil;1.0;0.622;1.845;10.0;poétique;Nature & Cosmos;V3+Embedding
admonition;1.0;0.6219;2.146;14.0;soutenu;Sentiments & Psyché;V3+Embedding
froidure;1.0;0.6212;3.19;14.091;littéraire+poétique;Sentiments & Psyché;V3+Embedding
aimeur;1.0;0.6206;1.845;10.0;littéraire;Art & Langage;V3+Embedding
chevaucheur;1.0;0.62;1.845;10.0;littéraire;Art & Langage;V3+Embedding
disant;1.0;0.62;3.847;5.535;littéraire;Sentiments & Psyché;V3+Embedding
astreinte;1.0;0.6197;1.845;3.5;littéraire;Esprit & Caractère;V3+Embedding
chaumine;1.0;0.6195;2.613;3.727;littéraire;Art & Langage;V3+Embedding
faucille;1.0;0.6195;3.348;4.373;poétique;Nature & Cosmos;V3+Embedding
cavale;1.0;0.619;3.629;1.101;littéraire+poétique;Nature & Cosmos;V3+Embedding
commodité;1.0;0.6184;3.276;7.269;soutenu+archaïque;Temps & Éphémère;V3+Embedding
fondement;1.0;0.618;3.386;1.381;poétique;Nature & Cosmos;V3+Embedding
coutumier;1.0;0.6176;3.41;12.85;littéraire;Esprit & Caractère;V3+Embedding
déparer;1.0;0.617;2.672;4.273;soutenu;Sentiments & Psyché;V3+Embedding
difficultueux;1.0;0.6154;1.845;10.0;littéraire;Esprit & Caractère;V3+Embedding
