mot;score_v3;score_semantique;zipf_books;ratio;categories_wikt;theme_similaire
acrimonieux;1.0;0.6958;1.845;7.0;soutenu;Esprit & Caractère
vergogneux;1.0;0.693;2.431;10.0;littéraire;Esprit & Caractère
incurieux;1.0;0.6907;1.845;10.0;littéraire;Esprit & Caractère
frileux;1.0;0.69;3.562;4.932;littéraire;Esprit & Caractère
splendide;1.0;0.6874;3.863;0.472;littéraire;Art & Langage
glèbe;1.0;0.6849;2.944;1.725;littéraire;Art & Langage
entéléchie;1.0;0.6846;1.845;10.0;littéraire;Philosophie & Idées
laudatif;1.0;0.683;1.845;10.0;soutenu;Art & Langage
blâme;1.0;0.6821;3.607;2.189;littéraire;Art & Langage
verbe;1.0;0.6814;3.923;5.048;littéraire+soutenu;Art & Langage
feintise;1.0;0.6775;1.845;10.0;littéraire;Esprit & Caractère
inclément;1.0;0.6754;1.845;10.0;soutenu;Esprit & Caractère
virginité;1.0;0.6737;3.545;0.826;littéraire;Sentiments & Psyché
vulgarité;1.0;0.669;3.728;3.358;soutenu;Esprit & Caractère
étreinte;1.0;0.6665;4.092;6.0;soutenu;Sentiments & Psyché
parégorique;1.0;0.6627;2.531;8.5;archaïque;Art & Langage
insomnieux;1.0;0.662;2.301;10.0;littéraire;Esprit & Caractère
commère;1.0;0.6582;3.386;7.147;archaïque;Art & Langage
douteur;1.0;0.6582;2.146;10.0;littéraire;Esprit & Caractère
vitupérer;1.0;0.6576;2.613;10.0;littéraire;Esprit & Caractère
servilité;1.0;0.6571;3.061;50.0;littéraire;Sentiments & Psyché
saphisme;1.0;0.656;1.845;10.0;littéraire;Philosophie & Idées
mânes;1.0;0.6554;2.613;41.0;poétique;Esprit & Caractère
arène;1.0;0.6552;3.615;1.831;littéraire+poétique;Nature & Cosmos
luminaire;1.0;0.6551;2.613;8.2;littéraire;Art & Langage
suspicieux;1.0;0.6547;2.732;0.831;littéraire;Esprit & Caractère
énervé;1.0;0.6543;3.334;0.943;littéraire;Sentiments & Psyché
rêne;1.0;0.6531;3.749;2.538;soutenu;Nature & Cosmos
semblance;1.0;0.6529;2.431;13.5;littéraire;Sentiments & Psyché
émasculer;1.0;0.6527;2.146;4.667;littéraire;Art & Langage
