mot;difficulté;source_score;score_utilisé;zipf_books;zipf_films;ratio_littéraire;categories_wiktionnaire;freqlivres;freqfilms
tout;Débutant;livre;5.98;5.98;6.05;0.85;Termes littéraires en français;961.48;1128.15
dire;Débutant;livre;5.93;5.93;6.21;0.53;Termes poétiques en français;856.76;1616.46
jour;Débutant;livre;5.92;5.92;5.8;1.3;Termes archaïques en français;826.35;635.22
être;Débutant;livre;5.77;5.77;6.08;0.49;Termes soutenus en français;582.97;1190.47
fille;Débutant;livre;5.62;5.62;5.8;0.66;"Termes soutenus en français; Termes littéraires en français; Termes poétiques en français";417.03;627.59
mort;Débutant;livre;5.62;5.62;5.63;0.97;Termes soutenus en français;415.27;426.26
fond;Débutant;livre;5.58;5.58;5.04;3.42;Termes littéraires en français;376.15;110.07
matin;Débutant;livre;5.58;5.58;5.42;1.42;Termes poétiques en français;376.89;265.03
premier;Débutant;livre;5.52;5.52;5.38;1.38;Termes littéraires en français;330.48;239.8
ciel;Débutant;livre;5.48;5.48;5.15;2.12;Termes archaïques en français;301.76;142.22
instant;Débutant;livre;5.47;5.47;5.27;1.61;Termes soutenus en français;297.23;184.85
savoir;Débutant;livre;5.46;5.46;5.66;0.63;Termes archaïques en français;290.95;458.37
noir;Débutant;livre;5.44;5.44;5.1;2.19;Termes littéraires en français;277.43;126.42
point;Débutant;livre;5.44;5.44;5.27;1.46;Termes littéraires en français;272.57;186.7
milieu;Débutant;livre;5.39;5.39;4.84;3.6;Termes poétiques en français;246.69;68.6
idée;Débutant;livre;5.38;5.38;5.52;0.73;Termes littéraires en français;241.08;330.39
pays;Débutant;livre;5.38;5.38;5.31;1.19;Termes poétiques en français;241.55;202.57
force;Débutant;livre;5.34;5.34;5.03;2.02;"Termes littéraires en français; Termes archaïques en français";218.38;108.29
feu;Débutant;livre;5.33;5.33;5.38;0.91;"Termes littéraires en français; Termes poétiques en français";215.47;237.8
bord;Débutant;livre;5.3;5.3;4.89;2.56;Termes poétiques en français;197.36;77.06
ombre;Débutant;livre;5.28;5.28;4.56;5.3;Termes poétiques en français;190.61;35.98
présent;Débutant;livre;5.28;5.28;5.02;1.81;Termes littéraires en français;190.47;105.23
vivre;Débutant;livre;5.28;5.28;5.35;0.85;Termes soutenus en français;190.27;223.76
chef;Débutant;livre;5.24;5.24;5.28;0.91;Termes littéraires en français;172.57;189.79
effet;Débutant;livre;5.24;5.24;5.0;1.75;Termes littéraires en français;173.18;99.17
geste;Débutant;livre;5.24;5.24;4.5;5.48;Termes littéraires en français;172.03;31.41
coin;Débutant;livre;5.22;5.22;4.97;1.79;Termes archaïques en français;167.09;93.43
front;Débutant;livre;5.18;5.18;4.59;3.93;Termes soutenus en français;152.57;38.81
personne;Débutant;livre;5.16;5.16;5.28;0.76;Termes littéraires en français;145.95;190.96
souvenir;Débutant;livre;5.16;5.16;4.79;2.35;Termes soutenus en français;145.34;61.81
mouvement;Débutant;livre;5.13;5.13;4.47;4.61;Termes littéraires en français;134.8;29.26
moindre;Débutant;livre;5.07;5.07;4.67;2.5;Termes archaïques en français;116.96;46.74
mesure;Débutant;livre;5.05;5.05;4.32;5.33;Termes poétiques en français;112.16;21.02
semaine;Débutant;livre;5.05;5.05;5.27;0.6;Termes littéraires en français;111.89;186.01
pensée;Débutant;livre;5.0;5.0;4.42;3.77;Termes littéraires en français;98.92;26.25
situation;Débutant;livre;4.99;4.99;5.01;0.95;Termes littéraires en français;96.62;101.39
hiver;Débutant;livre;4.98;4.98;4.57;2.57;Termes littéraires en français;96.28;37.44
connaître;Débutant;livre;4.95;4.95;4.95;1.02;Termes littéraires en français;90.14;88.63
quartier;Débutant;livre;4.95;4.95;4.74;1.63;"Termes littéraires en français; Termes archaïques en français";89.86;55.23
Nord;Débutant;livre;4.93;4.93;4.8;1.34;Termes littéraires en français;84.19;62.64
roi;Débutant;livre;4.93;4.93;5.22;0.52;Termes archaïques en français;85.95;166.34
marcher;Débutant;livre;4.91;4.91;4.93;0.95;Termes littéraires en français;80.88;85.34
faux;Débutant;livre;4.88;4.88;4.99;0.78;Termes littéraires en français;75.06;96.7
plat;Débutant;livre;4.86;4.86;4.48;2.41;Termes archaïques en français;72.77;30.21
descendre;Débutant;livre;4.85;4.85;4.81;1.08;Termes poétiques en français;70.41;65.28
midi;Débutant;livre;4.83;4.83;4.55;1.94;Termes poétiques en français;68.11;35.15
prince;Débutant;livre;4.82;4.82;4.65;1.46;Termes soutenus en français;65.61;44.83
théâtre;Débutant;livre;4.81;4.81;4.61;1.59;Termes archaïques en français;64.32;40.51
médecin;Débutant;livre;4.78;4.78;5.05;0.54;Termes archaïques en français;60.68;112.35
printemps;Débutant;livre;4.78;4.78;4.44;2.19;"Termes soutenus en français; Termes poétiques en français";60.88;27.85
conseil;Débutant;livre;4.76;4.76;4.84;0.84;Termes soutenus en français;58.18;68.86
aventure;Débutant;livre;4.74;4.74;4.35;2.43;Termes littéraires en français;54.86;22.54
merci;Débutant;livre;4.73;4.73;5.58;0.14;Termes littéraires en français;53.24;378.44
combat;Débutant;livre;4.72;4.72;4.76;0.91;"Termes soutenus en français; Termes poétiques en français";52.36;57.31
compter;Débutant;livre;4.72;4.72;4.65;1.17;Termes soutenus en français;52.77;45.05
fort;Débutant;livre;4.72;4.72;4.59;1.34;Termes soutenus en français;52.84;39.31
course;Débutant;livre;4.71;4.71;4.61;1.27;"Termes soutenus en français; Termes poétiques en français";51.22;40.45
profond;Débutant;livre;4.71;4.71;4.41;1.98;Termes soutenus en français;51.08;25.8
vieil;Débutant;livre;4.71;4.71;4.54;1.48;Termes archaïques en français;51.22;34.69
paysage;Débutant;livre;4.7;4.7;4.02;4.77;Termes littéraires en français;50.47;10.57
amant;Débutant;livre;4.67;4.67;4.37;2.01;Termes littéraires en français;46.76;23.28
mai;Débutant;livre;4.66;4.66;4.39;1.88;Termes archaïques en français;45.88;24.34
chaîne;Débutant;livre;4.64;4.64;4.45;1.52;Termes littéraires en français;43.24;28.4
colonel;Débutant;livre;4.63;4.63;5.01;0.42;Termes archaïques en français;42.91;102.86
poil;Débutant;livre;4.63;4.63;4.43;1.58;Termes poétiques en français;42.91;27.09
atteindre;Débutant;livre;4.61;4.61;4.39;1.66;Termes soutenus en français;40.47;24.42
épais;Débutant;livre;4.61;4.61;3.78;6.74;Termes littéraires en français;41.01;6.08
minuscule;Débutant;livre;4.6;4.6;3.73;7.27;Termes archaïques en français;39.39;5.41
trait;Débutant;livre;4.59;4.59;3.91;4.83;Termes littéraires en français;38.99;8.06
boule;Débutant;livre;4.58;4.58;4.29;1.99;Termes poétiques en français;38.31;19.29
flamme;Débutant;livre;4.58;4.58;4.1;3.04;Termes poétiques en français;38.38;12.61
nombreux;Débutant;livre;4.57;4.57;4.48;1.24;Termes soutenus en français;37.03;29.89
chute;Débutant;livre;4.55;4.55;4.32;1.68;Termes littéraires en français;35.27;21.01
rive;Débutant;livre;4.55;4.55;3.78;5.82;Termes poétiques en français;35.14;6.03
clé;Débutant;livre;4.54;4.54;4.84;0.51;Termes littéraires en français;35.0;68.73
chanter;Débutant;livre;4.53;4.53;4.68;0.71;Termes littéraires en français;34.26;48.12
carrière;Débutant;livre;4.52;4.52;4.55;0.94;Termes poétiques en français;33.04;35.23
période;Débutant;livre;4.51;4.51;4.38;1.35;Termes littéraires en français;32.09;23.72
sein;Débutant;livre;4.51;4.51;4.23;1.9;Termes littéraires en français;32.23;16.93
mars;Débutant;livre;4.5;4.5;3.99;3.22;Termes poétiques en français;31.42;9.75
barque;Débutant;livre;4.48;4.48;3.98;3.14;"Termes littéraires en français; Termes poétiques en français";29.93;9.52
formidable;Débutant;livre;4.48;4.48;4.71;0.58;Termes littéraires en français;30.07;51.79
agir;Débutant;livre;4.47;4.47;4.57;0.79;Termes littéraires en français;29.66;37.48
crime;Débutant;livre;4.47;4.47;4.91;0.36;Termes soutenus en français;29.32;81.77
entreprise;Débutant;livre;4.46;4.46;4.36;1.27;Termes littéraires en français;29.05;22.79
oubli;Débutant;livre;4.46;4.46;3.84;4.14;Termes poétiques en français;28.65;6.92
paisible;Débutant;livre;4.44;4.44;3.8;4.4;Termes littéraires en français;27.84;6.32
triomphe;Débutant;livre;4.44;4.44;3.95;3.09;Termes poétiques en français;27.3;8.83
liaison;Débutant;livre;4.43;4.43;4.27;1.45;Termes littéraires en français;26.69;18.41
souris;Débutant;livre;4.43;4.43;4.48;0.89;Termes archaïques en français;26.89;30.15
égal;Débutant;livre;4.43;4.43;4.49;0.87;Termes littéraires en français;26.89;30.8
merveilleux;Débutant;livre;4.42;4.42;4.81;0.41;Termes littéraires en français;26.21;64.06
crayon;Débutant;livre;4.41;4.41;3.91;3.15;Termes soutenus en français;25.47;8.08
lame;Débutant;livre;4.41;4.41;4.04;2.33;Termes poétiques en français;25.81;11.05
chevelure;Débutant;livre;4.4;4.4;3.4;9.99;Termes poétiques en français;25.07;2.5
murmure;Débutant;livre;4.4;4.4;3.21;15.43;Termes soutenus en français;25.14;1.62
panique;Débutant;livre;4.4;4.4;4.21;1.54;Termes littéraires en français;24.86;16.17
partager;Débutant;livre;4.4;4.4;4.53;0.73;Termes littéraires en français;24.93;34.05
aimable;Débutant;livre;4.39;4.39;4.34;1.12;Termes soutenus en français;24.59;21.98
ardeur;Débutant;livre;4.37;4.37;3.75;4.14;Termes littéraires en français;23.24;5.6
deuil;Débutant;livre;4.37;4.37;4.09;1.92;Termes poétiques en français;23.51;12.21
espérer;Débutant;livre;4.37;4.37;4.19;1.5;Termes soutenus en français;23.51;15.65
courrier;Débutant;livre;4.36;4.36;4.37;0.98;Termes littéraires en français;23.04;23.4
magnifique;Débutant;livre;4.36;4.36;4.9;0.29;Termes littéraires en français;22.91;78.72
repartir;Débutant;livre;4.36;4.36;4.29;1.17;Termes littéraires en français;22.91;19.56
fruit;Débutant;livre;4.34;4.34;4.2;1.37;Termes soutenus en français;21.96;15.99
mensonge;Débutant;livre;4.34;4.34;4.53;0.65;"Termes littéraires en français; Termes poétiques en français";21.89;33.64
scandale;Débutant;livre;4.33;4.33;4.28;1.13;Termes soutenus en français;21.49;19.09
rien;Débutant;livre;4.32;4.32;3.82;3.13;Termes soutenus en français;20.81;6.65
établir;Débutant;livre;4.32;4.32;4.02;1.96;Termes archaïques en français;20.68;10.52
République;Débutant;livre;4.31;4.31;3.54;5.92;Termes littéraires en français;20.41;3.44
demeure;Débutant;livre;4.3;4.3;4.09;1.64;Termes soutenus en français;20.07;12.24
planète;Débutant;livre;4.3;4.3;4.74;0.36;Termes archaïques en français;19.86;55.29
pré;Débutant;livre;4.3;4.3;3.7;3.93;Termes archaïques en français;19.8;5.03
malin;Débutant;livre;4.29;4.29;4.72;0.37;Termes littéraires en français;19.39;52.54
caresser;Débutant;livre;4.26;4.26;3.75;3.22;Termes poétiques en français;18.24;5.66
tard;Débutant;livre;4.26;4.26;4.53;0.54;Termes poétiques en français;18.38;34.1
conserver;Débutant;livre;4.24;4.24;3.73;3.26;Termes soutenus en français;17.57;5.39
dentelle;Débutant;livre;4.24;4.24;3.48;5.74;Termes littéraires en français;17.5;3.04
assassin;Débutant;livre;4.23;4.23;4.68;0.35;Termes poétiques en français;16.82;47.73
selle;Débutant;livre;4.21;4.21;3.95;1.81;Termes soutenus en français;16.08;8.9
doré;Débutant;livre;4.2;4.2;3.42;5.99;Termes poétiques en français;15.74;2.62
économie;Débutant;livre;4.2;4.2;3.96;1.71;Termes archaïques en français;15.74;9.2
habiller;Débutant;livre;4.18;4.18;4.23;0.89;Termes littéraires en français;15.27;17.1
duc;Débutant;livre;4.17;4.17;3.88;1.93;Termes littéraires en français;14.8;7.66
cruel;Débutant;livre;4.16;4.16;4.19;0.93;Termes poétiques en français;14.59;15.64
cristal;Débutant;livre;4.14;4.14;3.8;2.16;Termes poétiques en français;13.72;6.34
neveu;Débutant;livre;4.14;4.14;4.36;0.61;Termes littéraires en français;13.92;22.9
signer;Débutant;livre;4.13;4.13;4.47;0.46;Termes littéraires en français;13.51;29.25
confondre;Débutant;livre;4.12;4.12;3.68;2.73;Termes soutenus en français;13.18;4.83
foudre;Débutant;livre;4.1;4.1;4.1;1.01;Termes poétiques en français;12.64;12.5
sou;Débutant;livre;4.1;4.1;4.16;0.87;Termes archaïques en français;12.57;14.43
rivage;Débutant;livre;4.09;4.09;3.64;2.82;Termes poétiques en français;12.36;4.38
étreinte;Débutant;livre;4.09;4.09;3.31;5.98;Termes soutenus en français;12.36;2.06
correspondance;Débutant;livre;4.08;4.08;3.73;2.23;Termes littéraires en français;11.89;5.33
venue;Débutant;livre;4.06;4.06;3.92;1.38;Termes soutenus en français;11.49;8.34
berger;Débutant;livre;4.05;4.05;3.92;1.34;Termes poétiques en français;11.15;8.33
gouffre;Débutant;livre;4.05;4.05;3.54;3.3;Termes soutenus en français;11.35;3.43
azur;Débutant;livre;4.04;4.04;3.52;3.35;"Termes littéraires en français; Termes poétiques en français";11.01;3.28
brise;Débutant;livre;4.04;4.04;3.75;1.94;"Termes littéraires en français; Termes poétiques en français";10.88;5.6
cendre;Débutant;livre;4.04;4.04;3.51;3.41;Termes soutenus en français;11.08;3.24
ferraille;Débutant;livre;4.04;4.04;3.63;2.57;Termes littéraires en français;10.88;4.22
interdit;Débutant;livre;4.04;4.04;3.86;1.52;Termes littéraires en français;11.08;7.27
muraille;Débutant;livre;4.04;4.04;3.11;8.54;Termes soutenus en français;11.01;1.28
humiliation;Débutant;livre;4.03;4.03;3.83;1.59;Termes archaïques en français;10.68;6.72
hôte;Débutant;livre;4.03;4.03;4.13;0.81;Termes littéraires en français;10.81;13.43
bise;Débutant;livre;4.02;4.02;3.7;2.07;Termes poétiques en français;10.41;5.02
avide;Débutant;livre;4.01;4.01;3.29;5.31;Termes soutenus en français;10.34;1.94
procéder;Débutant;livre;4.01;4.01;3.83;1.5;Termes littéraires en français;10.14;6.75
ivoire;Débutant;livre;4.0;4.0;3.35;4.45;Termes poétiques en français;10.0;2.24
péril;Débutant;livre;4.0;4.0;3.8;1.58;Termes soutenus en français;10.0;6.32
gifle;Débutant;livre;3.99;3.99;3.56;2.73;Termes archaïques en français;9.86;3.6
impatient;Débutant;livre;3.99;3.99;3.88;1.3;Termes poétiques en français;9.73;7.51
moquer;Débutant;livre;3.98;3.98;4.06;0.82;Termes soutenus en français;9.46;11.47
saoul;Débutant;livre;3.98;3.98;3.89;1.21;Termes archaïques en français;9.46;7.81
aurore;Débutant;livre;3.97;3.97;3.48;3.11;Termes soutenus en français;9.39;3.01
gémissement;Débutant;livre;3.97;3.97;2.99;9.52;Termes poétiques en français;9.32;0.97
chanteur;Débutant;livre;3.96;3.96;3.99;0.94;Termes poétiques en français;9.19;9.8
tombeau;Débutant;livre;3.95;3.95;3.98;0.94;Termes littéraires en français;8.92;9.51
déchirer;Débutant;livre;3.94;3.94;3.63;2.04;Termes littéraires en français;8.72;4.27
artifice;Débutant;livre;3.93;3.93;3.73;1.58;Termes soutenus en français;8.51;5.38
lacs;Débutant;livre;3.93;3.93;3.56;2.38;Termes archaïques en français;8.58;3.6
passerelle;Débutant;livre;3.93;3.93;3.64;1.91;Termes archaïques en français;8.45;4.41
destinée;Débutant;livre;3.92;3.92;3.94;0.96;Termes poétiques en français;8.31;8.64
librairie;Débutant;livre;3.92;3.92;3.7;1.64;Termes archaïques en français;8.24;5.02
verbe;Débutant;livre;3.92;3.92;3.22;5.02;"Termes soutenus en français; Termes littéraires en français";8.38;1.66
évanouir;Débutant;livre;3.92;3.92;3.64;1.87;Termes archaïques en français;8.24;4.4
gémir;Débutant;livre;3.91;3.91;3.38;3.43;Termes poétiques en français;8.18;2.38
ressortir;Débutant;livre;3.9;3.9;3.67;1.7;Termes littéraires en français;7.91;4.64
commune;Débutant;livre;3.89;3.89;3.45;2.71;Termes soutenus en français;7.7;2.84
chaux;Débutant;livre;3.87;3.87;3.12;5.54;Termes archaïques en français;7.36;1.32
confins;Débutant;livre;3.86;3.86;3.22;4.38;Termes littéraires en français;7.3;1.66
favori;Débutant;livre;3.86;3.86;3.85;1.01;Termes soutenus en français;7.23;7.13
sillon;Débutant;livre;3.86;3.86;2.66;15.55;"Termes littéraires en français; Termes poétiques en français";7.3;0.46
splendide;Débutant;livre;3.86;3.86;4.19;0.47;Termes littéraires en français;7.3;15.45
tracer;Débutant;livre;3.86;3.86;3.32;3.46;Termes soutenus en français;7.23;2.08
disant;Débutant;livre;3.85;3.85;3.1;5.5;Termes littéraires en français;7.03;1.27
paupière;Débutant;livre;3.85;3.85;2.99;7.18;Termes poétiques en français;7.03;0.97
perruque;Débutant;livre;3.85;3.85;3.9;0.88;Termes poétiques en français;7.03;8.03
serviteur;Débutant;livre;3.85;3.85;4.03;0.67;Termes littéraires en français;7.16;10.63
choir;Débutant;livre;3.84;3.84;2.52;20.29;Termes littéraires en français;6.89;0.33
jais;Débutant;livre;3.83;3.83;2.63;15.52;Termes littéraires en français;6.82;0.43
Bouillon;Débutant;livre;3.82;3.82;3.57;1.8;Termes archaïques en français;6.62;3.68
nul;Débutant;livre;3.82;3.82;3.79;1.07;Termes littéraires en français;6.68;6.22
brune;Débutant;livre;3.81;3.81;3.65;1.44;Termes poétiques en français;6.42;4.44
décret;Débutant;livre;3.81;3.81;3.55;1.81;Termes littéraires en français;6.42;3.54
désolé;Débutant;livre;3.81;3.81;5.29;0.03;Termes soutenus en français;6.49;193.51
gerbe;Débutant;livre;3.81;3.81;3.23;3.82;Termes littéraires en français;6.49;1.69
insulter;Débutant;livre;3.81;3.81;3.83;0.95;Termes littéraires en français;6.42;6.76
iris;Débutant;livre;3.81;3.81;3.59;1.63;Termes littéraires en français;6.42;3.93
nef;Débutant;livre;3.81;3.81;2.61;15.48;Termes poétiques en français;6.49;0.41
solaire;Débutant;livre;3.81;3.81;3.85;0.92;Termes littéraires en français;6.49;7.04
virus;Débutant;livre;3.81;3.81;4.38;0.27;Termes archaïques en français;6.42;23.98
altitude;Débutant;livre;3.8;3.8;3.8;1.0;Termes littéraires en français;6.35;6.37
parvis;Débutant;livre;3.8;3.8;2.28;31.45;Termes poétiques en français;6.28;0.19
virilité;Débutant;livre;3.8;3.8;3.39;2.57;Termes littéraires en français;6.35;2.46
martyre;Débutant;livre;3.78;3.78;3.52;1.83;Termes poétiques en français;6.08;3.32
onde;Débutant;livre;3.78;3.78;3.64;1.37;Termes poétiques en français;6.01;4.39
guerrier;Débutant;livre;3.77;3.77;4.06;0.52;Termes soutenus en français;5.94;11.51
érotique;Débutant;livre;3.77;3.77;3.48;1.95;Termes littéraires en français;5.95;3.04
Céleste;Débutant;livre;3.76;3.76;3.65;1.31;Termes littéraires en français;5.81;4.43
émail;Débutant;livre;3.76;3.76;2.75;10.09;Termes poétiques en français;5.74;0.56
clameur;Débutant;livre;3.75;3.75;2.86;7.59;Termes littéraires en français;5.61;0.73
parent;Débutant;livre;3.75;3.75;4.09;0.46;Termes littéraires en français;5.68;12.39
amante;Débutant;livre;3.74;3.74;3.02;5.29;Termes littéraires en français;5.54;1.04
furie;Débutant;livre;3.74;3.74;3.31;2.69;Termes poétiques en français;5.54;2.05
menacer;Débutant;livre;3.73;3.73;3.73;1.0;Termes poétiques en français;5.34;5.35
taciturne;Débutant;livre;3.73;3.73;2.97;5.77;Termes littéraires en français;5.41;0.93
vulgarité;Débutant;livre;3.73;3.73;3.2;3.34;Termes soutenus en français;5.34;1.59
butin;Débutant;livre;3.72;3.72;3.8;0.83;Termes poétiques en français;5.2;6.27
pus;Débutant;livre;3.72;3.72;3.28;2.7;Termes archaïques en français;5.2;1.92
trame;Débutant;livre;3.72;3.72;2.63;12.0;Termes poétiques en français;5.27;0.43
olive;Débutant;livre;3.71;3.71;3.42;1.93;Termes poétiques en français;5.13;2.66
quiétude;Débutant;livre;3.71;3.71;2.81;7.82;Termes littéraires en français;5.07;0.64
redire;Débutant;livre;3.71;3.71;3.48;1.67;Termes soutenus en français;5.07;3.04
dépouille;Débutant;livre;3.7;3.7;3.23;2.95;Termes littéraires en français;5.0;1.69
nonchalance;Débutant;livre;3.7;3.7;2.67;10.44;Termes littéraires en français;5.0;0.47
chaume;Débutant;livre;3.69;3.69;2.56;13.16;Termes poétiques en français;4.86;0.36
frayer;Débutant;livre;3.69;3.69;3.01;4.68;Termes littéraires en français;4.86;1.03
apparat;Débutant;livre;3.68;3.68;2.71;9.25;Termes littéraires en français;4.8;0.51
cygne;Débutant;livre;3.67;3.67;3.72;0.88;Termes poétiques en français;4.66;5.28
procédé;Débutant;livre;3.65;3.65;3.52;1.36;Termes littéraires en français;4.46;3.28
boiteux;Débutant;livre;3.63;3.63;3.64;0.98;Termes poétiques en français;4.26;4.34
cavale;Débutant;livre;3.63;3.63;3.59;1.1;"Termes littéraires en français; Termes poétiques en français";4.26;3.87
mouvoir;Débutant;livre;3.63;3.63;2.76;7.24;Termes littéraires en français;4.26;0.58
arène;Débutant;livre;3.61;3.61;3.35;1.83;"Termes littéraires en français; Termes poétiques en français";4.12;2.25
blâme;Débutant;livre;3.61;3.61;3.27;2.18;Termes littéraires en français;4.05;1.85
consommer;Débutant;livre;3.61;3.61;3.48;1.37;Termes littéraires en français;4.12;3.0
vergogne;Débutant;livre;3.61;3.61;2.71;7.81;Termes littéraires en français;4.05;0.51
